Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
   **Answer**: Composite numbers can be formed by multiplying two smaller natural numbers, primes cannot.,3.82353,5.76263,0.85714,0.071,1.25,2.50045,1.0,0.000
   **Answer**: Tests whether any integer between 2 and the square root of n divides n, if none do,5.0,6.12437,0.88235,0.059,1.0,2.50045,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que define um número primo?,Um número natural maior que 1 que não pode ser formado pelo produto de dois números naturais menores.,1.57143,3.79304,1.0,1.000,2.47368,6.11685,0.94444,0.667
Por que os primos são importantes na Criptografia?,Para construir sistemas de Chave Pública onde a fatoração de números grandes é difícil,1.88889,4.37319,1.0,0.250,1.35714,5.63172,0.92857,0.222
Quão demonstrou Euclides que existem infinitos primos?,Mostrando que assumindo um número finito de primos,1.75,4.10211,1.0,0.000,1.0,4.37319,1.0,0.200
Qual exemplo de primalidade Mersenne?,2^82,1.5,3.43523,1.0,0.333,1.0,1.0,1.0,0.000
 Qual conjectura famousa não resolvida se relaciona com os primos?,A Conjectura de Goldbach,2.09091,4.82961,1.0,0.333,0.75,3.01273,1.0,0.333
O que é baseado na testação AKS para primalidade?,uma prova que sempre fornece resposta certa no tempo polinomial,2.2,4.61384,1.0,0.000,1.1,4.82961,1.0,0.571
O que caracteriza a distribuição dos primos entre os números naturais?,Sua densidade diminui de forma logarítmica conforme os números aumentam,2.08333,5.02467,1.0,0.200,1.3,4.82961,1.0,0.167
Que propriedade define os primos gêmeos?,Se são pares de primos com um número par entre eles.,1.71429,3.79304,1.0,0.250,1.75,5.02467,1.0,0.600
