Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que diferencia uma escola particular de uma pública?,A escola particular não é financiada pelo governo.,2.1,4.75438,0.88889,0.500,2.0,4.37319,1.0,0.833
Como é financiada uma escola particular?,Por meio de recursos próprios ou doações.,1.57143,3.79304,1.0,0.400,2.125,4.10211,1.0,0.000
Quem geralmente governa uma escola particular?,Um conselho de governadores.,1.71429,3.79304,1.0,0.750,1.4,3.01273,1.0,0.500
Qual o objetivo da governança em escolas particulares?,Garantir a operação independente da escola.,2.22222,4.37319,1.0,0.500,2.0,3.79304,1.0,0.750
Uma escola particular depende do governo para financiamento?,Não,2.77778,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
O que significa endowment no contexto escolar?,Recursos financeiros da escola.,2.0,4.10211,1.0,0.250,1.6,3.01273,1.0,0.333
Qual a principal característica de uma escola independente?,Não ser administrada pelo governo.,1.66667,4.37319,1.0,1.000,1.5,3.43523,1.0,0.750
Escolas particulares são sempre de propriedade privada?,Nem sempre,1.875,4.10211,1.0,0.667,0.5,1.85566,1.0,0.500
Qual a relação entre independência e financiamento em escolas particulares?,A independência depende do financiamento próprio.,2.0,4.82961,1.0,0.400,1.85714,3.79304,1.0,0.500
O texto descreve escolas públicas ou particulares?,Escolas particulares.,1.75,4.10211,1.0,0.200,1.0,1.85566,1.0,0.000
