Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é outro termo para escolas particulares?,escolas independentes  ,1.66667,4.37319,1.0,0.250,0.5,1.85566,1.0,0.000
O que as escolas particulares não dependem para financiamento?,financiamento governamental  ,1.9,4.61384,1.0,0.400,0.5,1.85566,1.0,0.000
O que as escolas particulares normalmente possuem?,um conselho de administração  ,1.875,4.10211,1.0,0.000,0.75,3.01273,1.0,1.000
Qual é a característica principal das escolas particulares?,operação independente  ,1.77778,4.37319,1.0,0.400,0.5,1.85566,1.0,1.000
Qual é a principal diferença entre escolas particulares e públicas?,não são financiadas pelo governo  ,1.72727,4.82961,1.0,0.333,1.0,3.43523,1.0,1.000
Qual é a fonte principal de financiamento das escolas particulares?,financiamento privado  ,1.90909,4.82961,1.0,0.333,0.5,1.85566,1.0,0.500
O que as escolas particulares usam para governança?,conselho de administração  ,1.88889,4.37319,1.0,0.000,0.66667,2.50045,1.0,1.000
Qual é o termo para escolas não administradas pelo governo?,escolas particulares  ,1.72727,4.82961,1.0,0.667,0.5,1.85566,1.0,0.000
Qual é a principal característica da estrutura das escolas particulares?,governança independente  ,2.27273,4.82961,1.0,0.500,0.5,1.85566,1.0,0.500
Qual é a característica do financiamento das escolas particulares?,não depende do governo,2.6,4.61384,1.0,0.200,0.75,3.01273,1.0,1.000
