Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem eram os normandos?,Descendentes de vikings e francos da região da Normandia,1.4,3.01273,1.0,0.000,1.77778,4.75438,0.88889,0.200
Qual evento marcou o início do assentamento normando na França?,O acordo de Rollo em 911,2.72727,4.82961,1.0,0.333,0.83333,3.79304,1.0,0.333
Qual língua os normandos adotaram?,Galo-romance,1.66667,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
Qual foi o significado do Tratado de Saint-Clair-sur-Epte?,Criação do Ducado de Normandia,1.77778,4.37319,1.0,0.400,1.0,3.43523,1.0,0.250
Qual apelido era dado a Ricardo I de Normandia?,Ricardo,1.8,4.61384,1.0,0.714,0.0,1.0,1.0,0.000
Em que ano a Inglaterra foi conquistada pelos normandos?,1066,2.0,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
O que aconteceu ao Ducado de Normandia em 1204?,Foi tomado pela França,1.9,4.61384,1.0,0.200,1.0,3.01273,1.0,0.000
Quais são as últimas áreas consideradas remanescentes do Ducado de Normandia?,As Ilhas do Canal,2.58333,5.02467,1.0,0.250,1.0,3.01273,1.0,0.333
Qual estilo arquitetônico é característico da cultura normanda?,Românico,2.33333,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Qual foi a contribuição dos normandos na Reconquista Ibérica?,Foram importantes combatentes,2.7,4.61384,1.0,0.000,0.66667,2.50045,1.0,0.000
