Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem é considerado o possível autor da origem do termo Huguenots?,Bezanson Hugues,2.41667,5.02467,1.0,0.571,0.5,1.85566,1.0,0.000
Quando a perseguição aos Huguenots foi reinstaurada na França?,1685,2.2,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Qual era a proporção dos Huguenots na população francesa antes do massacre de São Bartolomeu em 1572?,até 10%,2.44444,5.90165,1.0,0.333,0.66667,2.50045,1.0,0.000
Quem foi o líder dos Huguenots durante os conflitos religiosos da Guerra dos Trinta Anos?,Henry IV,3.0,5.76639,0.93333,0.111,0.5,1.85566,1.0,0.000
Qual foi a consequência para os Huguenots após a revogação do Edict of Nantes?,forçados a converter ou fugir como refugiados,2.2,5.63172,0.92857,0.000,1.28571,4.10211,1.0,0.250
Por que motivo a perseguição aos Huguenots aumentou sob Louis XIV?,por causa da crescente influência e depoimentos religiosos públicos,2.25,5.02467,1.0,0.333,1.11111,4.61384,1.0,0.200
Qual foi o impacto das saídas de Huguenots da França no país?,criou um efeito de drenagem cerebral,2.30769,5.20226,1.0,0.143,0.83333,3.79304,1.0,0.250
Quando os Huguenots perderam seus privilégios políticos e militares?,1685,1.9,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
Qual foi o resultado dos dragonnades para a comunidade protestante francesa?,causou um impacto devastador,2.25,5.02467,1.0,0.500,0.75,3.01273,1.0,0.000
Como se qualifica o período de conflitos religiosos na França entre 1562 e 1598?,French Wars of Religion,2.6,5.51466,1.0,0.143,1.5,3.01273,1.0,0.000
