Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o processo de construção de um edifício ou infraestrutura?,Construção,1.83333,5.1549,0.90909,0.600,0.0,1.0,1.0,0.000
Em que país é mais comum usar a palavra reforma para ampliações ou restaurações?,Brasil,2.4,5.51466,1.0,0.667,0.0,1.0,1.0,0.000
Quais são exemplos de projetos de infraestrutura construídos?,Ponte,1.66667,4.51932,0.875,0.200,0.0,1.0,1.0,0.000
Qual é o significado da palavra obra no contexto da construção?,Construção,3.5,5.1549,0.90909,0.667,0.0,1.0,1.0,0.000
Que porcentagem do PIB brasileiro é representada pelo setor de construção?,6-9%,2.33333,5.02467,1.0,0.429,0.5,1.85566,1.0,0.000
Quem geralmente gerencia uma obra de construção?,Arquiteto,1.75,4.10211,1.0,0.750,0.0,1.0,1.0,0.000
Quais são os fatores considerados em grandes projetos de construção?,Requisitos de zoneamento,1.81818,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.000
Qual é o termo usado para obras menores destinadas a um cliente conhecido?,Obra,1.85714,5.36491,1.0,0.500,0.0,1.0,1.0,0.000
Qual empresa mencionada atua na indústria de construção no exemplo dado?,COMSA EMTE,2.83333,5.02467,1.0,0.857,0.5,1.85566,1.0,0.000
Qual modelo de página wiki é usado pela seção de construção?,Template:Wiktionary,2.08333,5.1549,0.90909,0.714,1.0,1.85566,1.0,0.000
