Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é a função principal de um farmacêutico?,Aconselhar pacientes sobre o uso correto dos medicamentos  ,1.77778,4.37319,1.0,0.500,1.375,4.37319,1.0,0.400
Como devem ser armazenados os medicamentos que requerem refrigeração?,Em temperatura entre 2°C e 8°C,1.7,4.61384,1.0,0.333,1.33333,3.79304,1.0,0.333
Quais medicamentos geralmente exigem receita médica?,Antibióticos,2.0,3.79304,1.0,0.400,0.0,1.0,1.0,0.000
O que deve ser verificado antes de dispensar um medicamento?,A compatibilidade do medicamento com o histórico clínico do paciente  ,2.09091,4.82961,1.0,0.800,1.1,4.96484,0.9,0.800
Qual é o principal objetivo da farmacoterapia?,Tratar doenças e aliviar sintomas com base nas necessidades do paciente  ,1.75,4.10211,1.0,0.750,1.81818,5.02467,1.0,0.571
Quais são exemplos de medicamentos antihipertensivos comuns?,Enalapril,1.875,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Como deve ser administrado um medicamento em suspensão?,Em dose adequada,1.66667,4.37319,1.0,0.600,0.66667,2.50045,1.0,0.500
Qual é a função do selo de validade em embalagens farmacêuticas?,Indicar a data de validade do medicamento  ,1.83333,5.02467,1.0,0.500,1.0,4.10211,1.0,0.750
Quais são as principais responsabilidades da farmácia em relação aos pacientes?,Dispensar medicamentos,2.25,5.02467,1.0,0.400,0.5,1.85566,1.0,0.000
Qual é a regra geral para medicamentos que não requerem receita?,Devem ser vendidos apenas em farmácias e com orientação de profissional de saúde,1.91667,5.02467,1.0,0.857,1.07692,5.48607,0.92308,0.625
