Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem fundou a Dinastia Yuan?,Kublai Khan,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Em que ano a Dinastia Yuan foi formalmente estabelecida?,1271,2.1,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Quais foram as capitais da Dinastia Yuan?,Shangdu e Khanbaliq,2.0,4.10211,1.0,0.000,0.66667,2.50045,1.0,0.000
Em que ano a Dinastia Yuan foi dissolvida?,1368,2.11111,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Qual é o tipo de entidade da Dinastia Yuan?,Country,2.0,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Qual batalha está relacionada à Dinastia Yuan?,Battle of Xiangyang,2.125,4.10211,1.0,0.200,1.0,2.50045,1.0,0.000
Quem pertence à Dinastia Yuan?,Temür Khan,1.83333,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual evento ocorreu durante a Dinastia Yuan?,Red Turban Rebellion,1.75,4.10211,1.0,0.250,1.0,2.50045,1.0,0.000
Quem morreu durante a Dinastia Yuan?,Emperor Gong of Song,1.57143,3.79304,1.0,0.000,1.5,3.01273,1.0,0.000
Quem nasceu durante a Dinastia Yuan?,Princess Bokguk,2.14286,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
