Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. What does the immune system protect against?,diseases.,1.6875,4.37319,1.0,0.000,0.5,1.0,1.0,0.000
2. What are the agents detected by the immune system?,pathogens.,2.15,4.96484,0.9,0.000,0.5,1.0,1.0,0.000
3. What are the two main subsystems of the immune system?,innate and adaptive.,2.38636,5.1549,0.90909,0.000,1.25,2.50045,1.0,0.000
4. What is the term for immunological memory?,enhanced response to pathogens.,1.4375,4.37319,1.0,0.000,1.6,3.01273,1.0,0.000
5. What causes autoimmune diseases?,hyperactive immune system attacking tissues.,1.05,3.43523,1.0,0.000,2.0,3.43523,1.0,0.000
6. What is immunodeficiency?,immune system less active than normal.,0.875,3.01273,1.0,0.000,2.42857,3.79304,1.0,0.167
7. What is the system that protects the brain?,neuroimmune system.,1.91667,4.75438,0.88889,0.000,1.0,1.85566,1.0,0.000
8. What are the two types of immunity?,humoral and cell-mediated.,1.6875,4.37319,1.0,0.000,1.25,2.50045,1.0,0.000
9. What is the basis of vaccination?,acquired immunity.,1.46429,4.10211,1.0,0.000,1.0,1.85566,1.0,0.000
10. What is the term for the immune system attacking normal tissues?,autoimmunity.,1.54167,5.32781,0.91667,0.083,0.5,1.0,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que o sistema imunológico protege contra?,doenças  ,1.75,4.25402,0.85714,0.333,0.0,1.0,1.0,0.000
Quais agentes o sistema imunológico detecta?,patógenos  ,1.85714,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
Quais são os dois principais subsistemas do sistema imunológico?,inato e adaptativo  ,2.0,4.61384,1.0,0.400,0.66667,2.50045,1.0,0.000
O que é a imunidade adquirida?,resposta a patógenos específicos  ,2.14286,3.79304,1.0,0.000,0.75,3.01273,1.0,0.333
O que causa doenças autoimunes?,sistema imunológico atacando tecidos  ,1.5,3.43523,1.0,0.333,1.5,3.01273,1.0,0.250
O que caracteriza a imunodeficiência?,sistema imunológico menos ativo  ,1.5,3.43523,1.0,0.000,0.75,3.01273,1.0,1.000
Qual sistema protege o cérebro?,sistema neuroimune  ,1.66667,3.43523,1.0,0.667,0.5,1.85566,1.0,0.500
Quais são os dois tipos de imunidade?,humoral e mediada por células  ,1.625,4.10211,1.0,0.333,0.8,3.43523,1.0,0.000
Qual é a base da vacinação?,imunidade adquirida  ,1.71429,3.79304,1.0,0.667,0.5,1.85566,1.0,0.000
O que é a autoimunidade?,ataque a tecidos normais,1.5,3.43523,1.0,0.000,0.75,3.01273,1.0,0.333
