Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o outro nome para escola particular?,escola independente,1.66667,4.37319,1.0,0.750,0.5,1.85566,1.0,1.000
Em que país fica a Hanoi International School?,Vietnam,1.88889,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Que tipo de financiamento as escolas particulares geralmente recebem?,privado,2.6,4.61384,1.0,0.333,0.0,1.0,1.0,1.000
Qual é o exemplo de uma escola particular nos Estados Unidos?,Medical College of Wisconsin,2.25,5.02467,1.0,0.500,1.5,3.01273,1.0,0.000
Quais países têm exemplos de escolas particulares listadas?,Brasil,1.88889,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Que termo pode ser usado para descrever um colégio particular?,Universidade particular,1.81818,4.82961,1.0,1.000,0.5,1.85566,1.0,0.500
Qual é outro exemplo de uma escola particular na África do Sul?,Cranbrook Schools,2.53846,5.20226,1.0,0.571,0.5,1.85566,1.0,0.000
Que direito têm as escolas particulares que as públicas não têm?,Poder de escolher alunos,2.0,5.48192,0.72727,0.714,0.75,3.01273,1.0,0.333
Qual é o termo para uma instituição educacional privada e de ensino superior?,Universidade particular,2.14286,5.36491,1.0,0.714,0.5,1.85566,1.0,0.500
Qual é o exemplo de uma escola particular para surdos?,St. Rita School for the Deaf,1.81818,4.82961,1.0,0.600,0.75,3.79304,1.0,0.000
Qual é outro nome para um centro de formação particular em cozinha?,Center for Culinary Arts,1.84615,5.20226,1.0,0.833,0.75,3.01273,1.0,0.000
