Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual a função principal do IPCC?,Avançar o conhecimento científico sobre mudanças climáticas.,1.71429,3.79304,1.0,0.667,1.75,4.10211,1.0,0.400
Quais organizações estabeleceram o IPCC?,WMO e UNEP.,1.66667,3.43523,1.0,0.000,1.25,2.50045,1.0,0.000
Onde está localizado o secretariado do IPCC?,Genebra,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Quantos estados membros compõem o IPCC?,195,2.0,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual a duração usual de um ciclo de avaliação do IPCC?,Seis a sete anos.,1.83333,5.1549,0.90909,0.600,1.6,3.01273,1.0,0.000
Quem seleciona os especialistas para preparar os relatórios do IPCC?,O bureau de cientistas.,2.72727,4.96484,0.9,0.200,1.4,3.01273,1.0,0.000
Quantos grupos de trabalho e uma força de tarefa compõem o IPCC?,Três grupos de trabalho e uma força de tarefa.,2.23077,5.32781,0.91667,0.500,2.0,4.75438,0.88889,0.750
O IPCC realiza pesquisas originais?,Não,1.66667,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
Qual prêmio Nobel o IPCC compartilhou em 2007?,Nobel da Paz.,1.88889,4.37319,1.0,0.200,1.5,2.50045,1.0,0.000
Quando o IPCC completará seu sexto ciclo de avaliação?,Em 2023.,1.8,4.61384,1.0,0.600,1.0,1.85566,1.0,0.000
