Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Quem formulou originalmente o conceito de desobediência civil?,Henry David Thoreau,1.13889,4.61384,1.0,0.333,1.0,2.50045,1.0,0.000
2. Qual líder histórico aplicou com sucesso a desobediência civil na luta pela independência da Índia?,Mahatma Gandhi,1.6875,5.78178,1.0,0.600,0.5,1.85566,1.0,0.000
3. Qual movimento nos EUA utilizou a desobediência civil para lutar contra a segregação racial?,Movimento pelos Direitos Civis,1.45,5.76639,0.93333,0.333,1.5,3.01273,1.0,0.000
4. Qual evento protesta contra a polícia e a violência policial nos EUA e utiliza métodos de desobediência civil?,George Floyd protests in Chicago,1.40789,6.32762,0.89474,0.455,2.0,3.43523,1.0,0.000
5. Qual movimento utilizou métodos de desobediência civil na luta contra o apartheid?,Movimento contra o Apartheid,1.59615,5.36491,1.0,0.500,0.75,3.01273,1.0,0.000
6. Qual revolução utilizou métodos de desobediência civil e está relacionada com a Geórgia?,Revolução de Rose,1.46429,5.51466,1.0,0.222,0.66667,2.50045,1.0,0.333
7. Qual figura pública possui ideias notáveis sobre desobediência civil?,Henry David Thoreau,1.3,4.82961,1.0,0.250,1.0,2.50045,1.0,0.000
8. Qual país teve protestos contra leis de identidade religiosa em 2020 que utilizavam métodos de desobediência civil?,Paquistão,1.22222,6.11685,0.94444,0.250,0.0,1.0,1.0,0.000
9. Qual organização tem como produto a desobediência civil?,Ruckus Society,1.19444,4.61384,1.0,0.500,0.5,1.85566,1.0,0.000
10. Qual evento em 2021 utilizou métodos de desobediência civil relacionados à saúde pública?,End SARS memorial protest,1.46429,5.51466,1.0,0.300,1.5,3.01273,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quem formulou originalmente o conceito de desobediência civil?,Henry David Thoreau,1.77778,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
Qual líder histórico aplicou com sucesso a desobediência civil na luta pela independência da Índia?,Mahatma Gandhi,2.875,5.65316,1.0,0.667,0.5,1.85566,1.0,0.000
Qual movimento nos EUA utilizou a desobediência civil para lutar contra a segregação racial?,Movimento pelos Direitos Civis,2.4,5.63172,0.92857,0.375,1.5,3.01273,1.0,0.000
Qual evento protesta contra a polícia e a violência policial nos EUA e utiliza métodos de desobediência civil?,George Floyd protests in Chicago,2.31579,6.22924,0.88889,0.500,2.0,3.43523,1.0,0.000
Qual movimento utilizou métodos de desobediência civil na luta contra o apartheid?,Movimento contra o Apartheid,2.69231,5.20226,1.0,0.571,0.75,3.01273,1.0,0.000
Qual revolução utilizou métodos de desobediência civil e está relacionada com a Geórgia?,Revolução de Rose,2.42857,5.36491,1.0,0.250,0.66667,2.50045,1.0,0.333
Qual figura pública possui ideias notáveis sobre desobediência civil?,Henry David Thoreau,2.1,4.61384,1.0,0.286,1.0,2.50045,1.0,0.000
Qual país teve protestos contra leis de identidade religiosa em 2020 que utilizavam métodos de desobediência civil?,Paquistão,1.94444,6.00792,0.94118,0.273,0.0,1.0,1.0,0.000
Qual organização tem como produto a desobediência civil?,Ruckus Society,1.88889,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
Qual evento em 2021 utilizou métodos de desobediência civil relacionados à saúde pública?,End SARS memorial protest,2.42857,5.36491,1.0,0.333,1.5,3.01273,1.0,0.000
