Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é a origem da palavra construção?,Latina e francesa antiga  ,2.0,4.10211,1.0,0.750,1.25,3.01273,1.0,0.000
Quais são os processos da construção?,Planejamento,1.71429,3.79304,1.0,0.667,0.0,1.0,1.0,0.000
Qual é a contribuição da construção para o PIB global?,Aproximadamente 13%  ,1.72727,4.82961,1.0,0.200,0.66667,2.50045,1.0,0.000
Qual era o gasto global em construção em 2012?,$4 trilhões  ,1.8,4.75438,0.88889,0.800,1.0,2.50045,1.0,0.000
Qual é a previsão de gasto em 2030?,$14,1.66667,4.37319,1.0,0.750,0.5,1.85566,1.0,0.000
Qual é a taxa de fatalidades em construção nos EUA?,20% dos acidentes industriais  ,1.81818,4.82961,1.0,0.400,1.0,3.43523,1.0,0.000
Qual é a definição de construção?,Arte e ciência de formar objetos ou sistemas  ,1.57143,3.79304,1.0,0.667,1.0,4.37319,1.0,0.400
Qual é o papel da construção na economia?,Promove desenvolvimento econômico  ,2.33333,4.37319,1.0,0.750,1.0,2.50045,1.0,0.667
Quais são os benefícios não monetários?,Benefícios sociais e ambientais  ,1.57143,3.79304,1.0,0.750,1.0,3.01273,1.0,0.000
Quais são as etapas da construção?,Planejamento até demolição,1.71429,3.79304,1.0,0.667,0.66667,2.50045,1.0,0.667
