Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Another example: Quais são os três principais tipos de rock?,ígnea,2.25,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que é formado quando as rochas ígneas se resfriam e solidificam?,magma ou lava  ,2.30769,5.20226,1.0,0.000,0.66667,2.50045,1.0,0.500
Quais são os dois componentes principais da litosfera?,crosta e a parte superior rígida do manto superior  ,1.66667,4.37319,1.0,0.250,1.33333,4.75438,0.88889,0.500
Qual é o nome do processo que transforma rochas sedimentares em metamórficas?,calor e à pressão  ,2.30769,5.20226,1.0,0.286,0.75,3.01273,1.0,1.000
O que é a astenosfera?,a parte superior rígida do manto superior  ,1.5,3.43523,1.0,0.000,1.14286,4.25402,0.85714,0.400
Como se chama a teoria que explica o movimento das placas tectônicas?,tectônica de placas  ,2.0,5.20226,1.0,0.500,0.66667,2.50045,1.0,0.000
Qual tipo de rocha é formado pela acumulação de sedimentos?,sedimentar  ,2.0,4.96484,0.9,0.333,0.0,1.0,1.0,0.000
O que ocorre com as rochas quando são submetidas a alta pressão e temperatura?,transformam-se em rochas metamórficas  ,2.46667,5.51466,1.0,0.429,0.75,3.01273,1.0,0.000
Qual é a principal fonte de calor para o interior da Terra?,decaimento radioativo  ,1.84615,5.20226,1.0,0.667,0.5,1.85566,1.0,0.000
O que é a litosfera?,a camada rígida externa da Terra,1.5,3.43523,1.0,0.000,1.33333,3.79304,1.0,0.200
Qual é o processo que leva à formação de rochas ígneas?,solidificação do magma ou lava,1.75,5.02467,1.0,0.333,0.8,3.43523,1.0,0.333
