Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta, resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
force, um causeir ou uma pressão que altera o motion de um objeto.  ,0.0,1.0,1.0,0.000,1.84615,5.32781,0.91667,0.400
neto, o SI unit used to measure force.  ,0.0,1.0,1.0,1.000,2.875,4.10211,1.0,0.000
física, the study of forces and their effects on objects.  ,0.0,1.0,1.0,1.000,4.5,4.61384,1.0,0.000
push, a force that applies directly to an object.  ,0.0,1.0,1.0,0.000,3.33333,4.37319,1.0,0.000
pulso, the change in velocity of an object due to an unbalanced net force.  ,0.0,1.0,1.0,1.000,6.5,5.48607,0.92308,0.077
newton, the basic unit of force in the metric system.  ,0.0,1.0,1.0,0.000,4.5,4.75438,0.88889,0.000
massa, the amount of matter in an object.  ,0.0,1.0,1.0,1.000,3.5,4.10211,1.0,0.000
aceleração, the rate at which an object's velocity changes per time.  ,0.0,1.0,1.0,0.000,2.92308,5.02467,1.0,0.182
torque, the rotational equivalent of linear force acting on a body.  ,0.0,1.0,1.0,0.000,3.18182,4.82961,1.0,0.000
equilibrium, when forces balance each other,0.0,1.0,1.0,0.000,2.0,3.43523,1.0,0.000
deformação, the internal stress within a body that causes it to change shape.  ,0.0,1.0,1.0,0.000,3.15385,5.20226,1.0,0.000
aplicação, an example or real-world application of physics concepts.,0.0,1.0,1.0,1.000,3.33333,4.37319,1.0,0.000
