Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quem é considerado o pai da imunologia?,Ilya Ilyich Mechnikov,1.875,4.10211,1.0,0.250,1.0,2.50045,1.0,0.000
Quais são os dois tipos principais de mecanismos imunitários?,Imunidade inata e imunidade adaptativa,1.8,4.61384,1.0,0.200,1.0,3.59796,0.8,0.000
Qual é o papel das células B no sistema imunitário?,Produzir anticorpos,3.09091,4.82961,1.0,0.333,0.5,1.85566,1.0,0.000
O que é a imunidade adquirida?,O processo pelo qual o organismo cria memória imunológica após a exposição a um agente patogénico,2.14286,3.79304,1.0,0.000,1.5,6.01226,0.875,0.625
Qual é um exemplo de doença autoimune?,Artrite reumatóide,1.625,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Como as vacinas funcionam?,Estimulam a imunidade adquirida para reconhecer patógenos,1.6,3.01273,1.0,0.000,0.85714,4.10211,1.0,0.200
O que causa a imunodeficiência?,Doenças genéticas,1.5,3.43523,1.0,0.500,0.5,1.85566,1.0,0.000
Qual é a função do sistema complemento?,Aumentar a fagocitose e destruir patógenos,2.0,4.10211,1.0,0.500,1.0,3.79304,1.0,0.250
Como os organismos unicelulares se defendem contra infecções?,Por meio de enzimas que protegem contra bacteriófagos,1.88889,4.37319,1.0,0.000,0.875,4.37319,1.0,0.000
Qual é a principal função do sistema imunitário?,Proteger o organismo contra doenças reconhecendo e neutralizando agentes patogénicos,2.0,4.37319,1.0,0.600,1.1,4.82961,1.0,0.143
