Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a porcentagem da Amazônia dentro do Brasil?,60%,2.3,4.61384,1.0,0.000,0.5,1.85566,1.0,0.000
Quantos bilhões de árvores existem na floresta amazônica?,390,2.22222,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Em quantas nações a floresta amazônica se estende?,nove,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,1.000
Quais são os três países com maior porcentagem da Amazônia?,Brasil,1.81818,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
Qual é o nome do parque protegido da França na Amazônia?,Guiana Amazonian Park,3.0,5.02467,1.0,0.286,1.0,2.50045,1.0,0.000
Quantas espécies de árvores diferentes existem na floresta amazônica?,16.000,2.2,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Quanto porcentagem da biodiversidade mundial está presente na Amazônia?,mais da metade,2.0,4.61384,1.0,0.667,1.0,2.50045,1.0,1.000
Quantos milhões de pessoas vivem na região amazônica?,30+,2.22222,4.37319,1.0,0.200,0.5,1.0,1.0,0.000
Quantas terras indígenas estão formalmente reconhecidas na Amazônica?,3.344,2.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Quantos grupos indígenas permanecem isolados?,60,2.0,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
