Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem recebeu a nomeação da escola Harvard?,John Harvard,2.0,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Em que ano a Harvard College se tornou uma universidade?,1636,2.18182,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
A Universidade de Harvard tem quais tipos de instituições afiliais?,NCAA Division I,2.0,4.96484,0.9,0.143,1.0,2.50045,1.0,0.000
Qual é o nome do líder durante os anos depressivos e a Segunda Guerra Mundial?,James B. Conant,2.25,5.65316,1.0,0.250,1.0,2.50045,1.0,0.000
Qual foi a organização que a Harvard fundou em 1900?,Associação de Universidades Americanas,1.81818,4.96484,0.9,0.200,0.75,3.01273,1.0,0.250
Quem transformou a universidade em uma instituição de pesquisa moderna?,Charles W. Eliot,2.45455,4.82961,1.0,0.600,1.0,2.50045,1.0,0.000
Quantos bibliotecários compõe a biblioteca principal da escola?,79,1.88889,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
Qual é o número total de volumes na biblioteca da Harvard?,18 milhões,2.33333,5.02467,1.0,0.667,0.5,1.85566,1.0,0.000
Quantos presidentes dos EUA são ex-alunos da universidade?,oito,2.44444,4.37319,1.0,0.400,0.0,1.0,1.0,1.000
Quantos ganhadores do Nobel estão entre os ex-alunos da universidade?,150,2.36364,4.82961,1.0,0.200,0.0,1.0,1.0,0.000
Quem pertence à instituição Harvard University?,John Simpkins,2.0,3.79304,1.0,0.250,0.5,1.85566,1.0,0.000
Qual instituição de trabalho Harvard University possui?,Harvard Library,2.375,4.10211,1.0,0.400,0.5,1.85566,1.0,0.000
