Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O que significa o termo imperialismo?,A expressão imperialismo tem origem no latim imperium,1.57143,3.95066,0.83333,0.333,1.5,4.37319,1.0,0.333
Qual é o principal método de controle exercido pelo centro do império sobre as periferias?,O centro do império exerce controle político sobre as periferias,2.75,5.65316,1.0,0.625,1.5,4.82961,1.0,0.667
Quais são os elementos comuns encontrados em vários estados classificados como impérios?,Os estados impériais compartilham características como a extensão geográfica diversa,1.92308,5.20226,1.0,0.143,2.3,4.82961,1.0,0.143
Como o termo imperialismo é usado como uma categoria de análise?,O termo imperialismo é utilizado como uma categoria de análise para descrever elementos ou aspectos com características semelhantes,2.25,5.1549,0.90909,0.667,1.38889,6.01374,1.0,0.364
Quais são exemplos de imagens representativas do conceito de imperialismo?,Exemplos incluem Italian Empire 1940.png,2.27273,4.96484,0.9,0.333,3.0,3.43523,1.0,0.000
Qual é a relação entre imperialismo e categorias de análise?,O conceito de imperialismo pode ser utilizado como uma categoria de análise para agrupar estados ou nações que compartilham características comuns,2.0,4.82961,1.0,0.400,1.42857,6.40552,0.95238,0.462
Quais são as principais ideologias associadas ao conceito de imperialismo?,As ideologias associadas ao imperialismo incluem monarquismo e autoritarismo de diferentes tipos.,2.63636,4.82961,1.0,0.333,3.0,5.20226,1.0,0.000
Qual é o papel do Exército na administração de um império?,O Exército desempenha um papel fundamental na administração de um império,2.5,5.02467,1.0,0.600,1.09091,5.1549,0.90909,0.667
Quais são exemplos de motivações por trás do imperialismo?,Exemplos incluem expansão territorial,1.8,4.61384,1.0,0.250,0.75,3.01273,1.0,0.250
Como o imperialismo influenciou a história mundial?,O imperialismo influenciou significativamente a história mundial,1.75,4.10211,1.0,0.500,1.14286,4.10211,1.0,0.400
