Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quando foi estabelecida a Lei da Escócia?,1998,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
O local de reunião do Scottish Parliament,Edinburgo,1.28571,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Qual órgão determineu as competências do Scottish Parliament?,Cámara de Justiça,2.11111,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.333
Em qual ano houve um referundo sobre a devolução para o Escottish?,1997,1.84615,5.20226,1.0,0.200,0.0,1.0,1.0,0.000
O que caracteriza as leis resolvidas pelo Scottish Parliament?,Nem excedentariamente resolvem os problemas existentes,2.3,4.61384,1.0,0.000,1.0,3.79304,1.0,0.000
Qual órgão reorganizou e estendeu as competências do Scottish Parliament?,Ministerio da Escócia,2.18182,4.82961,1.0,0.167,1.0,2.50045,1.0,0.000
Quando foi a Lei da Escócia aplicável a todo o terras de Scotland?,1998,2.35714,5.48607,0.92308,0.000,0.0,1.0,1.0,0.000
O que é responsavel pelo acesso da Grande-Bretanha a escalas de leis resolvidas no Escottish?,Conservador,2.5625,5.65316,1.0,0.125,0.0,1.0,1.0,0.000
Em qual ano houve um strong majority na electora do Scottish Parliament?,2010,3.0,5.20226,1.0,0.143,0.0,1.0,1.0,0.000
Qual órgão determinou que os poderes restantes do Reino Unido fossem transferidos para o Escottish?,O government de Scotland,2.3125,5.65316,1.0,0.111,0.75,3.01273,1.0,0.000
