Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual a sigla utilizada para se referir ao Painel Intergovernamental sobre Mudanças Climáticas?,IPCC,2.42857,5.36491,1.0,0.375,0.0,1.0,1.0,0.000
Qual o principal objetivo do Painel Intergovernamental sobre Mudanças Climáticas?,Avaliar a ciência relacionada às mudanças climáticas,2.27273,4.82961,1.0,0.571,1.71429,4.10211,1.0,0.200
Quem compõe o Painel Intergovernamental sobre Mudanças Climáticas?,Cientistas e especialistas de todo o mundo,2.0,4.37319,1.0,0.167,0.85714,4.10211,1.0,0.333
Qual a função dos relatórios do Painel Intergovernamental sobre Mudanças Climáticas?,Fornecer avaliações abrangentes sobre as mudanças climáticas,3.0,5.02467,1.0,0.167,1.0,4.10211,1.0,0.000
Qual o propósito de avaliar a ciência relacionada às mudanças climáticas?,Informar tomadores de decisão e o público em geral,2.33333,5.02467,1.0,0.500,1.22222,4.61384,1.0,1.000
Como o Painel Intergovernamental sobre Mudanças Climáticas garante a credibilidade de seus relatórios?,Através de revisões por pares e processos de consenso,2.0,5.36491,1.0,0.125,1.33333,4.75438,0.88889,0.000
Quais tipos de informações são incluídas nos relatórios do Painel Intergovernamental sobre Mudanças Climáticas?,Observações,3.0,5.51466,1.0,0.111,0.0,1.0,1.0,0.000
Qual a importância da colaboração internacional no contexto do Painel Intergovernamental sobre Mudanças Climáticas?,Permite a troca de dados e conhecimentos entre diferentes países,2.6,5.51466,1.0,0.444,1.3,4.82961,1.0,0.200
O Painel Intergovernamental sobre Mudanças Climáticas é um órgão de implementação de políticas ou de avaliação científica?,De avaliação científica,2.16667,6.12437,0.88235,0.273,0.66667,2.50045,1.0,0.500
Qual a finalidade de fornecer projeções sobre as mudanças climáticas futuras?,Antecipar cenários e planejar ações de adaptação e mitigação,1.83333,5.02467,1.0,0.333,1.33333,4.75438,0.88889,0.333
