Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Another fact: Jacksonville, Florida está no fuso horário Eastern Time Zone (Eastern Time Zone). But that's more of a time zone fact. Maybe use the military presence: Jacksonville's military bases and the nearby Naval Submarine Base Kings Bay form the third largest military presence in the United States. So a question could be about the military presence.,1.5,2.50045,1.0,0.000,4.10152,8.93611,0.71429,0.130
Another fact: Jacksonville, Florida possui área aquática 329350000.0 which is the area of water in square meters. But that's a specific fact. Maybe include that as a question.,1.5,2.50045,1.0,0.000,2.81429,6.87947,0.92308,0.240
But to ensure diversity, let me pick the 10 questions as follows:,1.5,3.01273,1.0,0.000,2.44444,4.37319,1.0,0.000
Alternatively, the nickname River City is already covered.,0.0,1.0,1.0,0.000,3.5,4.10211,1.0,0.000
5. French colony: Fort Caroline, as per the context.,0.95,3.43523,1.0,0.000,1.6,3.01273,1.0,0.000
I think the current list is sufficient. Now, create the CSV.,1.75,4.37319,1.0,0.000,1.5,2.50045,1.0,0.000
question,answer  ,0.0,1.0,1.0,0.000,0.0,1.0,1.0,0.000
What is Jacksonville's rank in the U.S. population?,12th  ,1.25,4.61384,1.0,0.111,0.0,1.0,1.0,0.000
Which river flows through Jacksonville?,St. Johns River  ,2.0,3.43523,1.0,0.000,0.5,2.50045,1.0,0.000
When did Jacksonville consolidate with Duval County?,1968  ,2.875,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
What were the original inhabitants of Jacksonville?,Timucua  ,2.0,4.10211,1.0,0.286,0.0,1.0,1.0,0.000
What was the name of the French colony established in Jacksonville?,Fort Caroline  ,4.75,5.1549,0.90909,0.000,0.5,1.85566,1.0,0.000
What is Jacksonville's nickname?,The River City  ,1.28571,3.43523,1.0,0.200,1.0,2.50045,1.0,0.000
What is the highest temperature recorded in March in Jacksonville?,91°F  ,4.27273,4.96484,0.9,0.000,0.0,1.0,1.0,0.000
What is the lowest temperature recorded in June in Jacksonville?,47°F  ,4.27273,4.96484,0.9,0.000,0.0,1.0,1.0,0.000
Who was Jacksonville named after?,Andrew Jackson  ,2.0,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
What time zone does Jacksonville follow?,Eastern Time Zone,2.42857,3.79304,1.0,0.167,1.0,2.50045,1.0,0.000
