Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O termo império deriva de qual palavra em latim?,imperium,2.4,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Qual era o objetivo principal do Império Romano?,governar uma parte significativa do mundo antigo,1.88889,4.37319,1.0,0.800,1.0,4.10211,1.0,0.800
De quem o centro do império exerce controle político?,sobre as periferias,2.2,4.61384,1.0,0.800,0.66667,2.50045,1.0,0.000
Quem é considerado um dos principais opositores do imperialismo?,Léon-Étienne Duval,2.2,4.61384,1.0,0.000,0.5,1.85566,1.0,0.000
Qual partido canadense tinha como ideologia o imperialismo?,Conservative Party of Canada (1867–1942),2.0,4.37319,1.0,0.400,4.0,3.43523,1.0,0.000
O que caracteriza a unidade política de um império?,compõe-se por vários territórios e povos,1.8,4.61384,1.0,0.750,0.83333,3.79304,1.0,0.000
Qual livro trata sobre cultura e imperialismo?,Culture and Imperialism,1.75,4.10211,1.0,0.500,1.0,2.50045,1.0,0.000
Quem é conhecido por seus estudos sobre imperialismo?,Wolfgang Mommsen,1.77778,4.37319,1.0,0.250,0.5,1.85566,1.0,0.000
O que motiva o genocídio dos Herero e Namaqua?,imperialismo,2.1,4.75438,0.88889,0.000,0.0,1.0,1.0,0.000
A qual era pertence a Angola Portuguesa como exemplo de imperialismo?,era colonial,2.08333,5.1549,0.90909,0.333,0.5,1.85566,1.0,1.000
