Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é a posição de Jacksonville no ranking de população dos Estados Unidos?,12ª  ,1.92857,5.48607,0.92308,0.286,0.0,1.0,1.0,0.000
Qual é o nome do rio que passa por Jacksonville?,St. Johns  ,1.81818,4.82961,1.0,0.400,0.25,1.85566,1.0,0.000
Quem recebeu o nome da cidade de Jacksonville?,Andrew Jackson  ,2.0,4.37319,1.0,0.500,0.5,1.85566,1.0,0.000
Qual é o recorde de temperatura alta em dezembro em Jacksonville?,85°F  ,1.83333,5.1549,0.90909,0.500,0.0,1.0,1.0,0.000
Qual é o nome da colônia francesa fundada em 1564?,Fort Caroline  ,1.90909,4.82961,1.0,0.333,0.5,1.85566,1.0,0.000
Qual equipe de futebol americano tem sede em Jacksonville?,Jacksonville Jaguars  ,2.2,4.61384,1.0,0.667,0.5,1.85566,1.0,0.000
Qual é a área de Jacksonville em quilômetros quadrados?,1,1.7,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Qual é o nome oficial da cidade de Jacksonville?,City of Jacksonville and Duval County  ,1.8,4.61384,1.0,0.800,2.5,3.79304,1.0,0.000
Qual empresa tem sede em Jacksonville?,Safariland  ,1.71429,3.79304,1.0,0.500,0.0,1.0,1.0,0.000
Qual é o nome do arquipélago localizado em Jacksonville?,Não há arquipélago mencionado.,2.5,4.61384,1.0,0.200,1.4,3.01273,1.0,0.000
