Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Que estados são adjacentes à Vitória no nordeste da Austrália?,Novo Sul daustrália e Sul daustrália:,2.72727,4.82961,1.0,0.333,1.85714,4.15956,0.66667,0.000
Onde está localizado o Great Australian Bight em relação à Vitória?,Sudoeste,2.16667,5.02467,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a capital esportiva da Austrália que abriga Melbourne?,Melbourne,2.27273,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
Quantos milhões de pessoas morrem em Vitória?,Mais de 6,1.75,4.10211,1.0,0.000,0.66667,2.50045,1.0,0.000
Quem foi o premier de Vitória desde 2014?,Daniel Andrews,2.11111,4.37319,1.0,0.000,0.5,1.85566,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual evento importante foi realizado na Vitória em 1909?,Inter-State Series,2.2,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Quem é reconhecido por nascer em Vitória?,Rory Sloane,1.625,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Em que região da Vitória concentra a maior parte da população?,Leste-Sul,2.25,5.1549,0.90909,0.667,0.0,1.0,1.0,0.000
Que cidade em Victoria tem o maior número de museus e galerias de arte?,Melbourne,2.33333,5.63172,0.92857,0.500,0.0,1.0,1.0,0.000
Qual é a língua mais falada na Vitória?,Inglesa,2.22222,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
