Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Onde está localizado o Parlamento da Escócia?,Edimburgo,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Qual o nome do edifício que abriga o Parlamento da Escócia?,Parlamento Escocês,2.25,5.1549,0.90909,0.333,0.5,1.85566,1.0,0.000
Em que rio o Parlamento Escocês está situado?,Rio Forth,2.11111,4.37319,1.0,0.833,0.5,1.85566,1.0,0.000
Qual o estilo arquitetônico predominante do Parlamento Escocês?,Moderno,2.77778,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quem projetou o edifício do Parlamento Escocês?,Enric Miralles e RMJM Architecture,2.0,4.10211,1.0,0.250,1.0,3.43523,1.0,0.000
Qual o principal objetivo da construção do novo Parlamento Escocês?,Refletir a democracia aberta e a identidade escocesa,2.54545,4.82961,1.0,0.833,0.875,4.51932,0.875,0.200
Qual o material predominante utilizado na construção do Parlamento Escocês?,Aço e madeira,3.63636,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.500
O Parlamento Escocês é responsável por quais áreas legislativas?,Saúde,2.1,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
Qual a relação entre o design do Parlamento Escocês e a paisagem local?,O design incorpora elementos da paisagem escocesa,2.28571,5.48607,0.92308,0.667,1.42857,4.10211,1.0,0.400
O Parlamento Escocês foi inaugurado em que ano?,2004,2.0,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
