Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
I need to format them into a CSV with the separator as semicolon. Each line should have Question,Answer.,2.53571,6.01374,1.0,0.000,0.5,1.0,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é o nome científico para ctenophoras?,Ctenophora,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Onde habitat principal dos ctenophores?,Sea waters,1.66667,3.43523,1.0,0.250,0.5,1.85566,1.0,0.000
Para que serve os pentes dos ctenophores?,Swimming,1.75,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Tamanho usual dos ctenophores adultos?,1,2.0,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o nome comum para ctenophora?,Geleias de pente,1.75,4.10211,1.0,0.500,0.66667,2.50045,1.0,0.500
Que phylum pertence ctenophora?,Ctenophore,1.6,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
O que os ctenophores usam para movimento?,Comb jellies,1.75,4.10211,1.0,0.333,0.5,1.85566,1.0,0.000
O que descreve a estrutura do corpo deles?,Mass of jelly with two cells thick on the outside and another lining the internal cavity,2.0,4.37319,1.0,0.667,4.125,5.89142,0.9375,0.000
Qual é um exemplo de espécie de ctenópolas?,Mnemiopsis leidyi,1.66667,4.51932,0.875,0.500,0.5,1.85566,1.0,0.000
Em qual ano ctenophora foi descrita pela primeira vez?,1829,1.9,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
