Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o principal foco da teoria da complexidade computacional?,classificação de problemas de acordo com o uso de recursos,2.63636,4.96484,0.9,0.500,0.9,5.12344,0.8,0.500
O que define a complexidade de um problema computacional?,quantidade de recursos (tempo e armazenamento) necessários,1.7,4.61384,1.0,0.250,2.11111,4.10211,1.0,0.400
Qual é a relação entre a complexidade e a solvabilidade de um problema?,a complexidade determina se um problema é resolvível em um tempo razoável,1.85714,5.62279,0.84615,0.400,1.58333,5.32781,0.91667,0.429
O que significa dizer que um problema é NP-completo?,tem a menor complexidade entre todos os problemas NP-completos,2.0,4.75438,0.88889,0.400,0.88889,4.61384,1.0,0.400
O que o P versus NP problema busca determinar?,se problemas de fácil verificação podem ser resolvidos tão rapidamente quanto os que podem ser verificados,2.1,4.75438,0.88889,1.111,1.3125,6.01226,0.875,0.455
Como a teoria da complexidade computacional ajuda a entender os limites dos computadores?,determina o que os computadores podem ou não fazer,2.71429,5.48607,0.92308,0.429,1.0,4.61384,1.0,0.600
Qual a importância do conceito de classes de complexidade na teoria?,categoriza problemas com base em suas propriedades de complexidade,1.83333,5.1549,0.90909,0.600,0.88889,4.61384,1.0,0.200
O que significa que um problema é decidível?,pode ser resolvido por um algoritmo,1.77778,4.51932,0.875,0.250,0.83333,3.79304,1.0,0.500
O que é um modelo de computação?,uma representação matemática de um computador,1.625,4.10211,1.0,0.667,0.83333,3.79304,1.0,1.000
Qual a relação entre a teoria da complexidade e a computabilidade?,estuda o que é possível computar,2.08333,5.30531,0.81818,0.500,0.83333,3.79304,1.0,0.250
