Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem desenvolveu o conceito de distributed adaptive message block switching,Paul Baran desenvolveu o conceito de distributed adaptive message block switching,1.5,4.82961,1.0,0.143,1.54545,5.02467,1.0,0.111
Qual foi o objetivo principal do trabalho de Baran?,Baran visava um método de roteamento eficiente e tolerante a falhas para mensagens de telecomunicações,2.1,4.61384,1.0,0.800,1.26667,5.76639,0.93333,0.222
Em que instituição Baran realizou suas pesquisas?,Baran conduziu suas pesquisas no RAND Corporation,1.875,4.10211,1.0,0.250,1.28571,4.10211,1.0,0.000
Quem é creditado com a invenção do termo packet switching,Donald Davies é creditado com a invenção do termo packet switching,1.6,4.82961,1.0,0.333,1.54545,5.02467,1.0,0.250
Onde Davies conduziu suas pesquisas sobre packet switching,Davies conduziu suas pesquisas no National Physical Laboratory,1.0,4.37319,1.0,0.000,1.625,4.37319,1.0,0.000
Qual a contribuição principal de Davies para o campo da comutação de pacotes?,Davies cunhou o termo moderno de comutação de pacotes e inspirou redes subsequentes,2.28571,5.48607,0.92308,0.333,1.23077,5.48607,0.92308,0.222
Qual a principal diferença entre a comutação de circuitos e a comutação de pacotes?,A comutação de pacotes usa unidades de informação,2.0,6.07925,0.71429,0.333,1.25,4.51932,0.875,0.200
Em que ano Donald Davies publicou suas ideias sobre comutação de pacotes?,Davies publicou suas ideias sobre comutação de pacotes em 1965,2.0,5.20226,1.0,0.143,0.9,4.82961,1.0,0.000
Qual a organização que financiou parcialmente as pesquisas de Baran?,O Departamento de Defesa dos Estados Unidos financiou as pesquisas de Baran,1.72727,4.82961,1.0,0.200,1.5,5.32781,0.91667,0.111
O que a comutação de pacotes permite que os sistemas de rede façam?,A comutação de pacotes permite que os sistemas de rede se adaptem a falhas e sobrecarregamentos,2.21429,5.62279,0.84615,0.167,1.375,6.01226,0.875,0.125
