Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
What is the official name of the city? The data says City of Jacksonville and Duval County. So a question could be Qual o nome oficial da cidade de Jacksonville?,Cidade de Jacksonville e Condado de Duval. ,3.44444,7.38707,0.83333,0.333,1.875,4.25402,0.85714,0.429
What is the area of Jacksonville in square feet? The data has areaLand as 1935498000.0. So a question like Qual a área de Jacksonville em pés quadrados?,1.935.498.000. But maybe the user wants it in square miles. The data doesn't specify,2.65128,7.03488,0.88889,0.095,1.87778,5.76639,0.93333,0.133
What is the highest temperature recorded in January? The data has janRecordHighF as 85. So a question could be Qual a temperatura mais alta registrada em janeiro em Jacksonville?,85°F. ,2.61111,7.1494,0.89655,0.320,0.5,1.0,1.0,0.000
What is the lowest temperature recorded in February? The data has febRecordLowF as 10. So question: Qual a temperatura mais baixa registrada em fevereiro em Jacksonville?,10°F. ,2.49206,6.87947,0.92308,0.190,0.5,1.0,1.0,0.000
What is the average high temperature in October? The data has octAvgRecordHighF as 89.1. So question: Qual a média das temperaturas máximas em outubro em Jacksonville?,89,2.5873,6.87947,0.92308,0.143,0.0,1.0,1.0,0.000
What is the name of the museum mentioned? The data includes Karpeles Manuscript Library Museum (Jacksonville) and others. So a question could be Qual o nome de um museu localizado em Jacksonville?,Museu Karpeles Manuscript Library. ,3.91111,7.38853,0.875,0.259,2.0,3.01273,1.0,0.000
What is the name of the convention center in Jacksonville? The data has Prime F. Osborn III Convention Center. So a question: Qual o nome do centro de convenções de Jacksonville?,Prime F. Osborn III Convention Center. ,3.66234,7.53087,0.80645,0.120,3.0,3.79304,1.0,0.000
What is the name of the college in Jacksonville? The data mentions Jones College (Jacksonville) and others. So a question: Qual o nome de uma faculdade localizada em Jacksonville?,Jones College. ,3.67143,7.33883,0.82759,0.136,1.0,1.85566,1.0,0.000
1. Qual o nome oficial da cidade de Jacksonville?,Cidade de Jacksonville e Condado de Duval,1.13889,4.61384,1.0,0.800,1.14286,4.25402,0.85714,0.429
2. Qual a área de Jacksonville em pés quadrados?,1.935.498.000,1.08333,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
3. Qual a temperatura mais alta registrada em janeiro em Jacksonville?,85°F,1.20455,5.1549,0.90909,0.429,0.0,1.0,1.0,0.000
4. Qual a temperatura mais baixa registrada em fevereiro em Jacksonville?,10°F,1.20455,5.1549,0.90909,0.429,0.0,1.0,1.0,0.000
5. Qual a média das temperaturas máximas em outubro em Jacksonville?,89,1.38636,5.1549,0.90909,0.333,0.0,1.0,1.0,0.000
6. Qual o nome de um museu localizado em Jacksonville?,Museu Karpeles Manuscript Library,1.15,4.82961,1.0,0.400,1.5,3.01273,1.0,0.000
7. Qual o nome do centro de convenções de Jacksonville?,Prime F. Osborn III Convention Center,1.15,4.96484,0.9,0.400,2.5,3.79304,1.0,0.000
8. Qual o nome de uma faculdade localizada em Jacksonville?,Jones College,1.15,4.82961,1.0,0.400,0.5,1.85566,1.0,0.000
9. Qual o nome do rio que corta Jacksonville?,Rio St. Johns,1.13889,4.61384,1.0,0.400,0.5,2.50045,1.0,0.000
10. Em que ano ocorreu a consolidação de Jacksonville com o Condado de Duval?,1968 (but that's already in the example,1.21429,5.63172,0.92857,0.250,2.2,4.37319,1.0,0.125
Another possible question: What is the name of the historical preserve in Jacksonville? The data has Timucuan Ecological and Historic Preserve. So a question: Qual o nome de uma área de preservação histórica em Jacksonville?,Timucuan Ecological and Historic Preserve. ,3.52917,7.68903,0.82857,0.143,2.5,3.43523,1.0,0.000
Another one: What is the name of the foundation in Jacksonville? The data has Tom Coughlin Jay Fund Foundation. So question: Qual o nome de uma fundação localizada em Jacksonville?,Tom Coughlin Jay Fund Foundation. ,3.23077,7.2924,0.86667,0.080,2.5,3.43523,1.0,0.000
Another: What is the name of the university in Jacksonville? The data has Logos University. So question: Qual o nome de uma universidade localizada em Jacksonville?,Logos University. ,2.72009,7.07402,0.84615,0.143,1.0,1.85566,1.0,0.000
Qual é o nome oficial da cidade de Jacksonville?,Cidade de Jacksonville e Condado de Duval  ,1.8,4.61384,1.0,0.800,1.14286,4.25402,0.85714,0.429
Qual a área de Jacksonville em pés quadrados?,1.935.498.000  ,1.66667,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual a temperatura mais alta registrada em janeiro em Jacksonville?,85°F  ,1.90909,4.96484,0.9,0.500,0.0,1.0,1.0,0.000
Qual a temperatura mais baixa registrada em fevereiro em Jacksonville?,10°F  ,1.90909,4.96484,0.9,0.500,0.0,1.0,1.0,0.000
Qual a média das temperaturas máximas em outubro em Jacksonville?,89,2.27273,4.96484,0.9,0.400,0.0,1.0,1.0,0.000
Qual o nome de um museu localizado em Jacksonville?,Museu Karpeles Manuscript Library  ,1.8,4.61384,1.0,0.500,1.5,3.01273,1.0,0.000
Qual o nome de uma área de preservação histórica em Jacksonville?,Timucuan Ecological and Historic Preserve  ,1.83333,5.1549,0.90909,0.600,2.0,3.43523,1.0,0.000
Qual o nome de uma fundação localizada em Jacksonville?,Tom Coughlin Jay Fund Foundation  ,1.8,4.61384,1.0,0.250,2.0,3.43523,1.0,0.000
Qual o nome de uma universidade localizada em Jacksonville?,Logos University  ,1.8,4.61384,1.0,0.500,0.5,1.85566,1.0,0.000
Qual o nome do centro de convenções de Jacksonville?,Prime F. Osborn III Convention Center,1.8,4.75438,0.88889,0.500,2.5,3.79304,1.0,0.000
