Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é a definição principal da farmácia?,Ciência e prática de descobrir,1.75,4.10211,1.0,0.750,0.8,3.43523,1.0,0.667
Quais são os dois tipos principais de farmácia?,Comunitária e institucional.  ,1.77778,4.37319,1.0,0.500,1.25,2.50045,1.0,0.000
O que é um farmacêutico?,Experto em terapia medicinal e otimização de medicamentos.  ,1.5,3.43523,1.0,0.000,1.77778,4.37319,1.0,0.000
Qual é a função principal da farmácia?,Assegurar uso seguro,1.75,4.10211,1.0,0.750,0.66667,2.50045,1.0,1.000
O que inclui a área de prática da farmácia?,Preparação,2.3,4.61384,1.0,0.750,0.0,1.0,1.0,0.000
Qual é a relação da farmácia com as ciências?,Conecta saúde,2.3,4.61384,1.0,0.500,0.5,1.85566,1.0,0.500
O que é um apotecário?,Antecessor das ciências químicas e farmacológicas.  ,1.5,3.43523,1.0,0.000,1.57143,3.79304,1.0,0.000
Qual é a principal diferença entre farmácia e chefe de farmácia?,O primeiro é comum nos EUA,2.08333,5.1549,0.90909,0.667,1.0,3.79304,1.0,0.500
O que fazem os farmacêuticos modernos?,Revisar medicamentos e fornecer informações.  ,1.57143,3.79304,1.0,0.000,1.66667,3.43523,1.0,0.250
O que é o objetivo da farmácia?,Otimizar o uso de medicamentos para os pacientes.,2.125,4.25402,0.85714,1.000,1.66667,4.37319,1.0,0.250
