Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Quem é conhecido por Steam engine?,Thomas Newcomen,1.39286,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
2. Qual navio possui propulsão da embarcação Steam engine?,USS Montclair (ID-3497),1.47222,4.61384,1.0,0.143,2.0,2.50045,1.0,0.000
3. Qual imagem representa o Steam engine?,Boulton and Watt centrifugal governor-MJ.jpg,1.10714,4.10211,1.0,0.200,3.0,3.43523,1.0,0.000
4. Qual categoria está associada ao Steam engine?,Category:18th-century inventions,1.3125,4.37319,1.0,0.167,1.5,1.85566,1.0,0.000
5. Qual modelo de página wiki é usado pelo Steam engine?,Template:Convert,1.34091,5.02467,1.0,0.375,1.0,1.85566,1.0,0.000
6. Qual ciclo termodinâmico ideal analisa o funcionamento dos motores a vapor?,Rankine,1.45833,5.20226,1.0,0.500,0.0,1.0,1.0,0.000
7. Em que contexto o Steam engine ainda é utilizado hoje?,reatores nucleares para geração de eletricidade,1.34091,5.02467,1.0,0.250,1.0,3.79304,1.0,0.500
8. Qual assunto está associado ao Steam engine?,Category:Energy conversion,1.3125,4.37319,1.0,0.167,1.0,2.50045,1.0,0.000
9. Qual outro navio possui propulsão da embarcação Steam engine?,SS Maui,1.45,4.82961,1.0,0.143,0.5,1.85566,1.0,0.000
10. Qual outro modelo de página wiki é usado pelo Steam engine?,Template:Wikiquote,1.33333,5.20226,1.0,0.375,1.0,1.85566,1.0,0.000
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quem é conhecido por Steam engine?,Thomas Newcomen  ,2.28571,3.79304,1.0,0.250,0.5,1.85566,1.0,0.000
Qual navio possui propulsão da embarcação Steam engine?,USS Montclair (ID-3497)  ,2.44444,4.37319,1.0,0.167,2.0,2.50045,1.0,0.000
Qual imagem representa o Steam engine?,Boulton and Watt centrifugal governor-MJ.jpg  ,1.71429,3.79304,1.0,0.250,3.0,3.43523,1.0,0.000
Qual categoria está associada ao Steam engine?,Category:18th-century inventions  ,2.125,4.10211,1.0,0.200,1.5,1.85566,1.0,0.000
Qual modelo de página wiki é usado pelo Steam engine?,Template:Convert  ,2.18182,4.82961,1.0,0.429,1.0,1.85566,1.0,0.000
Qual ciclo termodinâmico ideal analisa o funcionamento dos motores a vapor?,Rankine  ,2.41667,5.02467,1.0,0.571,0.0,1.0,1.0,0.000
Em que contexto o Steam engine ainda é utilizado hoje?,reatores nucleares para geração de eletricidade  ,2.18182,4.82961,1.0,0.286,1.0,3.79304,1.0,0.500
Qual assunto está associado ao Steam engine?,Category:Energy conversion  ,2.125,4.10211,1.0,0.200,1.0,2.50045,1.0,0.000
Qual outro navio possui propulsão da embarcação Steam engine?,SS Maui  ,2.4,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Qual outro modelo de página wiki é usado pelo Steam engine?,Template:Wikiquote,2.16667,5.02467,1.0,0.429,1.0,1.85566,1.0,0.000
