Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando começou a crise petrolífera de 1973?,outubro de 1973,1.625,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.500
Qual organização declarou o embargo petrolífero?,Organização dos Países Árabes Exportadores de Petróleo (OPAEP),1.71429,3.79304,1.0,0.250,2.2,4.37319,1.0,0.125
Por que foi imposto o embargo petrolífero?,por causa do apoio a Israel durante a Guerra do Yom Kippur,1.625,4.10211,1.0,0.500,1.41667,5.47097,0.83333,0.875
Quais países foram inicialmente alvo do embargo?,Canadá,2.0,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Qual foi o preço do petróleo em março de 1974?,cerca de US$ 12 por barril,2.18182,4.82961,1.0,0.600,1.14286,3.79304,1.0,0.000
Como é também chamada a crise petrolífera de 1973?,primeiro choque do petróleo,1.8,4.61384,1.0,0.429,1.0,3.01273,1.0,1.000
Quando foi levantado o embargo petrolífero?,março de 1974,1.57143,3.79304,1.0,0.000,0.66667,2.50045,1.0,0.500
Qual foi outro termo usado para descrever a crise?,crise petrolífera ou choque do petróleo,1.9,4.61384,1.0,0.800,1.5,3.79304,1.0,0.750
Qual evento subsequente é conhecido como o segundo choque do petróleo?,crise do petróleo de 1979,2.08333,5.02467,1.0,0.857,0.8,3.43523,1.0,0.667
Por quanto tempo durou o embargo petrolífero?,aproximadamente cinco meses,1.875,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.000
