Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Como é chamado o ato de cidadãos recusarem ativamente obedecer a leis que consideram injustas?,desobediência civil,2.5625,5.65316,1.0,0.273,0.5,1.85566,1.0,0.500
Qual movimento de direitos civis nos EUA era conhecido por sua desobediência?,Movimento dos Direitos Civis,2.15385,5.20226,1.0,0.429,1.5,3.01273,1.0,0.000
Quem escreveu o ensaio que popularizou o termo desobediência civil nos EUA?,Henry David Thoreau,2.46154,5.32781,0.91667,0.429,1.0,2.50045,1.0,0.000
O que a desobediência civil protesta contra?,leis injustas,1.875,4.10211,1.0,0.333,0.5,1.85566,1.0,0.000
Qual tipo de protesto a desobediência civil geralmente se equipara?,protestos não violentos,2.18182,4.82961,1.0,0.500,0.66667,2.50045,1.0,0.667
Contra qual ocupação ocorreu a Revolução Egípcia de 1919?,ocupação britânica,1.9,4.61384,1.0,0.200,0.5,1.85566,1.0,0.500
Que tipo de protesto Martin Luther King Jr. considerava uma forma de reverência à lei?,desobediência civil,2.6875,5.76639,0.93333,0.300,0.5,1.85566,1.0,0.500
Qual filósofo americano popularizou o termo desobediência civil em seu ensaio?,Henry David Thoreau,2.0,5.02467,1.0,0.714,1.0,2.50045,1.0,0.000
Em que contexto a desobediência civil é considerada uma forma de resistência não violenta?,quando é não violenta,2.06667,5.51466,1.0,0.556,1.0,3.01273,1.0,0.667
Qual característica uma ação de desobediência civil precisa ter para ser considerada civil?,não violência,2.14286,5.48607,0.92308,0.667,0.5,1.85566,1.0,1.500
