Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quem introduziu o termo geologia de forma definitiva em 1779?,Horace-Bénédict de Saussure  ,2.09091,4.82961,1.0,0.333,0.66667,2.50045,1.0,0.000
Qual é a idade aproximada da Terra segundo a geologia?,4,2.54545,4.96484,0.9,0.200,0.0,1.0,1.0,0.000
Quais são exemplos de recursos naturais que os geólogos ajudam a localizar e gerenciar?,Petróleo,2.2,5.51466,1.0,0.250,0.0,1.0,1.0,0.000
Qual lei brasileira regula a profissão de geólogo?,Lei nº 4.076,1.88889,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
O que é a tectônica de placas?,Teoria segundo a qual a litosfera terrestre está fragmentada em placas tectônicas que se deslocam sobre a astenosfera  ,1.625,4.10211,1.0,0.000,1.72222,6.22924,0.88889,0.111
Quais ciências estão diretamente relacionadas à geologia?,Geografia,2.125,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
O que é a astrogeologia?,Estudo de corpos celestes similares à geologia terrestre  ,1.5,3.43523,1.0,0.000,2.125,4.37319,1.0,0.167
Qual é o nome de um periódico científico que atua na área de geologia?,International Journal of Earth Sciences  ,1.86667,5.63172,0.92857,0.429,2.0,3.43523,1.0,0.000
Quais são as imagens representativas associadas à geologia?,Jordens inre-numbers.svg,2.33333,4.37319,1.0,0.200,1.5,1.85566,1.0,0.000
Quem foi o primeiro a usar o termo geologia?,Jean-André Deluc,2.1,4.75438,0.88889,0.600,0.5,1.85566,1.0,0.000
