Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a definição básica de civil disobedience?,O ato de desafiar leis injustas.,1.77778,4.37319,1.0,0.400,1.71429,3.79304,1.0,0.250
Quem popularizou o conceito de civil disobedience?,Henry David Thoreau,1.625,4.10211,1.0,0.500,1.0,2.50045,1.0,0.000
Em que obra de Thoreau o conceito de civil disobedience foi publicado?,Civil Disobedience,2.38462,5.32781,0.91667,0.429,0.5,1.85566,1.0,0.000
Qual movimento de direitos civis utilizou a civil disobedience extensivamente?,Movimento pelos Direitos Civis Americanos,2.09091,4.82961,1.0,0.286,2.0,3.43523,1.0,0.000
Qual foi um exemplo histórico de civil disobedience liderado por Mahatma Gandhi?,Movimento de Independência Indiana,2.38462,5.20226,1.0,0.375,0.75,3.01273,1.0,0.000
Em que contexto a civil disobedience foi utilizada durante o Occupy Movement?,Protesto contra desigualdade social,2.15385,5.20226,1.0,0.143,0.75,3.01273,1.0,0.333
Qual grupo utilizou a civil disobedience na Insulate Britain campanha?,Ativistas ambientais,2.36364,4.82961,1.0,0.429,0.5,1.85566,1.0,0.000
O que a Code Rood organização fez utilizando civil disobedience?,Desafiar a construção de uma nova prisão,2.36364,4.82961,1.0,0.286,0.85714,4.10211,1.0,0.500
Qual foi o objetivo do movimento Women Disobey?,Desafiar normas de gênero,2.33333,4.37319,1.0,0.600,0.75,3.01273,1.0,0.333
Qual foi um exemplo de civil disobedience em protesto contra a legislação de habitação?,Protestos de 2019 em Londres,1.8,5.63172,0.92857,0.429,0.8,3.43523,1.0,0.000
Qual a relação entre a civil disobedience e o movimento Refuse Fascism?,Oposição a ideologias autoritárias.,2.0,5.32781,0.91667,0.500,1.8,3.01273,1.0,0.000
