Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O termo geologia vem de qual idioma antigo?,Grego Antigo,1.88889,4.37319,1.0,0.600,0.5,1.85566,1.0,0.000
A geologia estuda principalmente o que?, Estrutura e processos da Terra,1.71429,3.79304,1.0,0.333,1.0,3.43523,1.0,0.000
Qual é uma aplicação prática da geologia?, Exploração de minerais,2.0,4.10211,1.0,0.500,0.66667,2.50045,1.0,0.333
Quais ferramentas os地质学家 usam?, Martelo de geólogo,1.6,3.01273,1.0,0.000,0.66667,2.50045,1.0,0.000
Nomeie um jornal associado à geologia., Revista Brasileira de Geologia,2.0,3.79304,1.0,0.250,0.75,3.01273,1.0,0.250
Qual processo é estudado na geologia?, Tectônica de placas,1.71429,3.79304,1.0,0.250,0.66667,2.50045,1.0,0.000
Outra palavra para o manto superior da Terra é, Astenosfera,1.77778,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
O que forma-se quando o magma cristaliza?, Rocha ígnea,1.875,4.25402,0.85714,0.000,0.5,1.85566,1.0,0.000
Qual método determina a idade relativa das rochas?, Datação relativa e absoluta,1.88889,4.37319,1.0,0.400,0.75,3.01273,1.0,0.000
Quem contribui para entender a história da Terra?, Geólogos,2.0,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
