Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Sobre o que se refere o termo Ctenophora?,A classe de animais conhecidos como medusas de pente ou plumas,1.66667,4.51932,0.875,0.333,1.45455,5.1549,0.90909,0.333
Quantas espécies de Ctenophora são conhecidas atualmente?,Mais de 100 espécies,2.0,4.10211,1.0,0.400,1.5,3.01273,1.0,0.000
O que significa o termo cteno na classificação Ctenophora?,Pequena lâmina ou pequeno pente,2.3,4.75438,0.88889,0.400,1.0,3.43523,1.0,0.750
O que significa o termo phora na classificação Ctenophora?,Portador ou transportador,2.3,4.75438,0.88889,0.400,0.66667,2.50045,1.0,0.000
Qual é o nome comum dado aos animais da classe Ctenophora?,Medusas de pente ou plumas,2.58333,5.02467,1.0,0.714,1.2,3.43523,1.0,0.333
Em que ambiente os ctenóforos são encontrados?,Ambiente marinho,2.0,4.10211,1.0,0.500,0.5,1.85566,1.0,0.500
Quantos filos de animais são considerados mais simples que os ctenóforos?,Apenas um filo (os poríferos),2.16667,5.02467,1.0,0.429,1.14286,3.43523,1.0,0.000
O que caracteriza o sistema nervoso dos ctenóforos?,É formado por uma rede de células nervosas com neurônios bipolares,2.22222,4.51932,0.875,0.500,1.09091,5.02467,1.0,0.143
Qual é a principal característica morfológica dos ctenóforos que dá nome à classe?,A presença de fileiras de cílios em forma de pente,2.35714,5.36491,1.0,0.500,1.3,5.12344,0.8,0.600
Qual é a principal função dos cílios nos ctenóforos?,Facilitar o movimento de natação,2.3,4.61384,1.0,0.400,0.8,3.43523,1.0,0.667
