Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual empresa fornecia transmissão de televisão por satélite para o Reino Unido? ,British Satellite Broadcasting,1.84615,5.20226,1.0,0.571,1.0,2.50045,1.0,0.000
Em que ano British Satellite Broadcasting foi incorporado para formar BSkyB? ,1990,2.33333,5.02467,1.0,0.250,0.0,1.0,1.0,0.000
Qual era o nome original da empresa antes de se tornar BSkyB? ,British Satellite Broadcasting,2.38462,5.20226,1.0,1.000,1.0,2.50045,1.0,0.000
Em que ano British Satellite Broadcasting foi fundado? ,1986,2.55556,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
Qual era a localização principal da sede da British Satellite Broadcasting? ,London,2.66667,5.1549,0.90909,0.429,0.0,1.0,1.0,0.000
Qual canal de TV era de propriedade da British Satellite Broadcasting? ,The Movie Channel,2.25,5.1549,0.90909,0.571,1.0,2.50045,1.0,0.000
Qual canal de TV era de propriedade da British Satellite Broadcasting? ,Galaxy (British TV channel),2.25,5.1549,0.90909,0.571,2.5,3.01273,1.0,0.250
Qual filme foi produzido pela British Satellite Broadcasting? ,Memphis Belle,2.11111,4.37319,1.0,0.167,0.5,1.85566,1.0,0.000
Qual empresa era a proprietária do canal de TV The Power Station? ,British Satellite Broadcasting,2.15385,5.20226,1.0,0.500,1.0,2.50045,1.0,0.000
Qual empresa era a proprietária do canal de TV Now? ,British Satellite Broadcasting,1.90909,4.82961,1.0,0.667,1.0,2.50045,1.0,0.000
