Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual o ano de fundação da Universidade de Chicago?,1890,1.8,4.75438,0.88889,0.400,0.0,1.0,1.0,0.000
Onde está localizada a Universidade de Chicago?,Chicago,1.625,4.10211,1.0,0.167,0.0,1.0,1.0,0.000
Qual é uma área de destaque acadêmica da Universidade de Chicago?,Economia,2.41667,5.1549,0.90909,0.429,0.0,1.0,1.0,0.000
Quem é um dos economistas mais famosos associados à Universidade de Chicago?,Milton Friedman,2.15385,5.20226,1.0,0.250,0.5,1.85566,1.0,0.000
Qual é o nome da biblioteca principal da universidade?,Biblioteca Regenstein,2.3,4.75438,0.88889,0.800,0.5,1.85566,1.0,0.000
Quais são os esportes representados pela equipe de futebol americano da universidade?,Bears,2.30769,5.20226,1.0,0.714,0.0,1.0,1.0,0.000
Qual é o nome do prédio mais famoso da universidade?,Searles Hall,2.27273,4.82961,1.0,0.833,0.5,1.85566,1.0,0.000
Qual é o nome da faculdade de direito da universidade?,Faculdade de Direito de Chicago,1.90909,4.96484,0.9,1.200,0.8,3.59796,0.8,0.200
Qual é o nome do campus principal da universidade?,Campus de Hyde Park,2.3,4.61384,1.0,0.600,1.25,3.01273,1.0,0.250
Qual é a classificação da universidade em rankings globais?,Entre as 10 melhores universidades do mundo,2.3,4.61384,1.0,0.400,1.0,4.10211,1.0,0.333
