Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual a principal diferença entre escolas privadas e públicas?,Escolas privadas não são administradas nem financiadas pelo governo.,1.8,4.61384,1.0,0.400,1.8,4.61384,1.0,0.625
O que caracteriza uma escola independente?,Não depende de financiamento governamental para sua manutenção.,1.57143,3.79304,1.0,0.667,1.77778,4.37319,1.0,0.000
Como são financiadas as escolas privadas?,Por doações privadas ou taxas de matrícula.,1.57143,3.79304,1.0,0.250,1.875,4.10211,1.0,0.250
Quem geralmente administra uma escola privada?,Um conselho de governadores ou proprietários privados.,1.71429,3.79304,1.0,0.750,2.0,4.10211,1.0,0.250
Qual a relação entre escolas privadas e o governo?,Não há dependência financeira do governo.,1.8,4.61384,1.0,0.500,2.0,3.79304,1.0,0.400
Como se diferencia uma escola privada de uma pública?,Financiamento e administração são diferentes.,1.8,4.75438,0.88889,0.500,1.83333,3.43523,1.0,0.500
O que garante a operação independente de uma escola privada?,Um sistema de governança próprio.,2.09091,4.82961,1.0,0.800,1.5,3.43523,1.0,0.667
Qual o papel de um conselho de governadores em escolas privadas?,Garante a independência e operação da escola.,1.75,5.1549,0.90909,0.400,1.875,4.10211,1.0,0.750
Como é a fonte de recursos de uma escola independente?,Doações,1.72727,4.96484,0.9,0.500,0.0,1.0,1.0,0.000
O que define uma escola como independente?,A ausência de financiamento público.,2.125,4.10211,1.0,1.000,1.5,3.43523,1.0,1.000
