Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual foi o principal objetivo da Guerra Franco-Indígena? ,A expansão territorial e a dominação indígena pela França.,2.0,4.37319,1.0,0.600,2.2,4.75438,0.88889,0.400
Quando começou a Guerra Franco-Indígena? ,Em 1754,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual foi o principal fato que levou à guerra? ,A disputa pelo território entre as potências europeias na América do Norte.,1.7,4.61384,1.0,0.600,2.15385,5.20226,1.0,0.429
Quais foram os principais envolvidos na Guerra Franco-Indígena? ,França,2.0,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Qual foi o resultado da Batalha de Washington (1759)? ,A derrota francesa,2.0,4.61384,1.0,0.333,0.66667,2.50045,1.0,0.500
Qual a importância estratégica dos Fortalezas Algumas e Duquesne? ,Controlavam as rotas comerciais e de comunicação no interior da América do Norte.,2.3,4.61384,1.0,0.200,2.85714,5.36491,1.0,0.375
"Quando a França caiu em 1763, que territórios foram transferidos para a Grã-Bretanha? ",A área entre o Canadá e os Estados Unidos (atual Midwest).,1.86667,5.48607,0.92308,0.000,2.78571,5.02467,1.0,0.333
Qual foi o impacto da Guerra Franco-Indígena nos povos indígenas? ,Grandes perdas territoriais e populacionais,3.09091,4.82961,1.0,0.000,1.4,3.43523,1.0,0.000
Quando terminou formalmente a Guerra Franco-Indígena? ,Foi oficialmente encerrada com o Tratado de Paris em 1763.,1.57143,3.79304,1.0,0.000,1.90909,4.82961,1.0,0.143
Qual foi a consequência mais imediata da derrota francesa na guerra? ,A Proclamação do Rei George III,2.33333,5.02467,1.0,0.429,1.83333,3.79304,1.0,0.200
