Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
A Universidade de Chicago foi fundada em qual ano?,1890,2.2,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
Em qual país está localizada a Universidade de Chicago?,Estados Unidos,1.8,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Qual é a cidade onde se localiza a Universidade de Chicago?,Chicago,1.75,5.1549,0.90909,0.333,0.0,1.0,1.0,0.000
A Universidade de Chicago é pública ou privada?,Privada,2.0,4.37319,1.0,0.333,0.0,1.0,1.0,0.000
Qual foi o ranking mundial da Universidade de Chicago em 2023?,12º lugar,1.83333,5.02467,1.0,0.286,0.5,1.85566,1.0,0.500
Quem fundou a Universidade de Chicago?,John D. Rockefeller,1.57143,3.79304,1.0,0.250,1.0,2.50045,1.0,0.000
Qual é o slogan oficial da Universidade de Chicago?,Where knowledge is shaped by action,1.8,4.61384,1.0,0.667,2.5,3.79304,1.0,0.000
A Universidade de Chicago foi tema de qual documentário?,Our Flag Means Death,2.0,4.75438,0.88889,0.167,1.5,3.01273,1.0,0.000
Em que ano a Universidade de Chicago se fundiu com o Hyde Park College?,1892,2.26667,5.51466,1.0,0.250,0.0,1.0,1.0,0.000
Quem é o presidente atual da Universidade de Chicago?,Robert J. Zimmer,2.5,4.61384,1.0,0.500,1.0,2.50045,1.0,0.000
