Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem é conhecido por Computational complexity theory?,Nikolai Sergeevich Bakhvalov,2.125,4.10211,1.0,0.200,1.0,2.50045,1.0,0.000
Computational complexity theory possui qual hiperônimo?,Branch,2.0,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o tipo de Computational complexity theory?,PsychologicalFeature100023100,1.77778,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quais são as classes computacionais envolvidas em Computational complexity theory?,Computational complexity classes,2.0,4.82961,1.0,0.143,1.0,2.50045,1.0,0.000
Qual é o modelo de página wiki usado por Computational complexity theory?,Template:Computer science,1.92308,5.20226,1.0,0.375,1.0,2.50045,1.0,0.000
Quem atua na disciplina Computational complexity theory?,Jelani Nelson,2.375,4.10211,1.0,0.200,0.5,1.85566,1.0,0.000
Qual é o tipo de Computational complexity theory?,Structure105726345 e Act100030358,1.77778,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.000
Computational complexity theory usa qual modelo de página wiki?,Template:Quote e Template:Garey-Johnson,2.3,4.61384,1.0,0.286,2.0,3.59796,0.8,0.000
Quais são as áreas de atuação de Viliam Geffert?,Computational complexity theory,1.7,4.75438,0.88889,0.200,1.0,2.50045,1.0,0.000
Quem é conhecido por Computational complexity theory?,Thomas Jerome Schaefer,2.125,4.10211,1.0,0.200,1.0,2.50045,1.0,0.000
