Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a origem da palavra Geologia?,Antiguo grego,2.0,4.10211,1.0,0.500,0.5,1.85566,1.0,0.500
Qual é uma aplicação importante da Geologia?,Exploração de minérios e fontes de energia hidroquímica,1.75,4.10211,1.0,0.500,1.125,4.51932,0.875,0.333
O que estuda a Geologia?,Estrutura do planeta Terra no solo e abaixo dele,1.5,3.43523,1.0,0.000,2.55556,4.61384,1.0,0.600
Qual tipo de ciência é Geologia?,Ciência natural,2.0,3.79304,1.0,0.500,0.5,1.85566,1.0,0.500
Geologia está relacionada com quais outros ramos da ciência?,Outras ciências terrestres e geossistemas integrais e ciência do planeta,2.3,4.61384,1.0,0.200,1.7,4.96484,0.9,0.333
O que ajuda a geólogos a determinar a idade relativa de rochas?,Técnicas de geofísica,2.0,5.47097,0.83333,0.500,0.66667,2.50045,1.0,0.000
Qual é um aspecto central da Geologia?,Análise estrutural do planeta Terra,1.75,4.10211,1.0,0.500,1.2,3.43523,1.0,0.250
Quem usa a geologia para obter evidências sobre o passado climático?,Geólogos,2.33333,5.02467,1.0,0.500,0.0,1.0,1.0,0.000
Qual é uma aplicação prática da Geologia?,Elaboração de recursos hídricos,2.0,4.10211,1.0,0.500,0.75,3.01273,1.0,0.000
O que descreve a Geologia?,Estrutura do planeta Terra em sua superfície e abaixo dele,1.5,3.43523,1.0,0.000,1.7,4.82961,1.0,0.600
Por que Geologia é importante para a geotecnia?,É central e um papel importante na geotécnica.,1.66667,4.37319,1.0,0.250,1.77778,4.37319,1.0,0.600
