Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é a desobediência civil?,a recusa de um cidadão a obedecer determinadas leis,1.57143,3.79304,1.0,0.333,1.44444,4.75438,0.88889,0.400
Quem popularizou o conceito de desobediência civil nos EUA?,Henry David Thoreau,2.3,4.61384,1.0,0.400,1.0,2.50045,1.0,0.000
Qual foi um exemplo histórico de desobediência civil na Índia?,a resistência não violenta de Gandhi,1.90909,4.82961,1.0,0.500,1.16667,3.79304,1.0,0.750
Em qual país ocorreu a Revolução Laranja em 2004?,Ucrânia,2.1,4.75438,0.88889,0.200,0.0,1.0,1.0,0.000
Qual método foi usado por Gandhi para protestar?,resistência não violenta,1.77778,4.37319,1.0,0.600,0.66667,2.50045,1.0,1.000
Quem inspirou Martin Luther King Jr. no movimento dos direitos civis?,Mahatma Gandhi,3.16667,5.02467,1.0,0.125,0.5,1.85566,1.0,0.000
Por que as pessoas praticam desobediência civil?,para protestar contra leis injustas,1.875,4.10211,1.0,0.250,0.8,3.43523,1.0,0.333
Como MLK viu a desobediência civil?,como uma expressão de respeito à lei,1.71429,3.79304,1.0,0.250,1.42857,4.10211,1.0,1.000
Qual foi um exemplo recente de desobediência civil na América Latina?,o movimento dos Sem-Teto no Brasil,1.91667,5.02467,1.0,0.429,1.83333,3.79304,1.0,0.333
Qual aspecto ético a desobediência civil expõe?,a rejeição consciente de certas leis,2.0,4.10211,1.0,0.400,1.0,3.79304,1.0,0.000
