Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
9. O que o IPCC não faz? Produz pesquisa original, apenas resume estudos existentes.,0.96032,4.96484,0.9,0.714,1.6,3.01273,1.0,0.250
Em qual ano o IPCC foi criado?,1988,2.0,4.10211,1.0,0.750,0.0,1.0,1.0,0.000
Quais foram as organizações fundadoras do IPCC?,Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM),2.0,4.10211,1.0,0.000,2.16667,5.51466,1.0,0.417
Qual é a sede principal do IPCC?,Genebra,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Em que ano o IPCC recebeu o Prêmio Nobel da Paz?,2007,2.25,5.1549,0.90909,0.143,0.0,1.0,1.0,0.000
Quantos relatórios principales foram produzidos pelo IPCC até 2014?,Cinco,2.1,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
Quais são as principais funções do IPCC?,Sintetizar e divulgar o conhecimento sobre mudanças climáticas,1.75,4.10211,1.0,0.250,0.875,4.37319,1.0,0.400
Nome de um cientista notável ligado ao IPCC:,Bert Bolin,2.11111,4.37319,1.0,0.200,0.5,1.85566,1.0,0.000
Qual é a abreviação do IPCC?,IPCC,1.71429,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
O que o IPCC não faz?,Produz pesquisa original,1.71429,3.95066,0.83333,0.667,0.66667,2.50045,1.0,1.000
Quais são os principais problemas abordados pelo IPCC?,Aquecimento global,2.0,4.37319,1.0,0.200,0.5,1.85566,1.0,0.000
