Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o nome da empresa que opera serviços de radiowave e internet no Reino Unido?,Sky Digital,2.41176,5.78178,1.0,0.333,0.5,1.85566,1.0,0.000
Quais seresAtos atuais do Sky Digital?,Telefone,2.42857,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Em qual ano Sky Digital foi fundada?,1982,2.125,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Onde está localizado a sede principal de Sky Digital?, Londres,1.8,4.61384,1.0,0.286,0.0,1.0,1.0,0.000
Qual é o objetivo principal do Sky Digital?, Ofender os serviços de/transmissão de conteúdo de rádio e/televisão,1.88889,4.37319,1.0,0.600,1.45455,4.75438,0.88889,0.333
Qual é o nome da mais recente plans para celulares de Sky Digital?, Ultra HD 20,2.28571,5.36491,1.0,0.375,0.66667,2.50045,1.0,0.000
Quantas看电视canal digitais offerem Sky Digital no Reino Unido?,Muitos mais,2.77778,4.37319,1.0,0.000,0.5,1.85566,1.0,1.000
Onde está localizado a sede do Setor de Relações Públicas de Sky Digital?, Londres,1.85714,5.48607,0.92308,0.182,0.0,1.0,1.0,0.000
Qual é o nome da empresa que colabora com Sky Digital para transmissão de conteúdo?, BSkyB,1.9375,5.65316,1.0,0.500,0.0,1.0,1.0,0.000
Qual é a natureza principal dos serviços que Sky Digital oferece?, Multimédia,2.16667,5.02467,1.0,0.286,0.0,1.0,1.0,0.000
