Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a definição básica de civil disobedience?,Refusão não violenta de leis,1.77778,4.37319,1.0,0.400,1.2,3.43523,1.0,0.500
Quem popularizou o conceito de civil disobedience?,Henry David Thoreau,1.625,4.10211,1.0,0.500,1.0,2.50045,1.0,0.000
Qual movimento inspirou Thoreau a escrever sobre civil disobedience?,Movimento abolicionista,2.0,4.61384,1.0,0.500,0.5,1.85566,1.0,0.000
Em que movimento civil disobedience foi uma tática central?,Movimento pelos direitos civis,1.9,4.61384,1.0,0.500,0.75,3.01273,1.0,0.000
Qual liderança influenciou a aplicação de civil disobedience?,Mahatma Gandhi,1.77778,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Em que contexto civil disobedience foi utilizada na Índia?,Protestos por independência,2.0,4.61384,1.0,0.167,0.66667,2.50045,1.0,0.500
Qual evento no Brasil demonstrou o uso de civil disobedience?,Movimento Estudantil de 1968,2.27273,4.82961,1.0,0.500,0.75,3.01273,1.0,0.000
Qual protesto nos EUA exemplifica civil disobedience?,Protestos contra a Guerra do Vietnã,2.375,4.10211,1.0,0.200,1.0,3.79304,1.0,0.250
Qual grupo utilizou civil disobedience no movimento pelos direitos civis?,SNCC (Student Nonviolent Coordinating Committee),2.45455,4.82961,1.0,0.429,3.0,3.43523,1.0,0.000
Em que contexto civil disobedience foi usada na Ucrânia?,Revolução laranja,1.9,4.61384,1.0,0.167,0.5,1.85566,1.0,0.500
