Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é protegido pelo sistema imunológico?,organismo.,2.0,4.10211,1.0,0.250,0.5,1.0,1.0,1.000
Quais são os dois tipos principais de resposta imune?,inato e adaptativo.,1.8,4.61384,1.0,0.400,1.25,2.50045,1.0,0.000
Qual órgão produz células responsáveis pela defesa do corpo?,medula óssea.,2.8,4.61384,1.0,0.333,1.0,1.85566,1.0,0.500
Que tipo de célula faz parte do sistema imunológico inato?,neutrófilos.,2.54545,4.82961,1.0,0.571,0.5,1.0,1.0,0.000
O que é criado pelo sistema imunológico adaptativo para reconhecimento futuro?,memória imunológica.,2.41667,5.02467,1.0,0.714,1.0,1.85566,1.0,0.500
Qual é a causa das doenças autoimunes?,hiperatividade do sistema imunológico.,2.0,4.10211,1.0,0.250,1.6,3.01273,1.0,0.333
Como se chama o estado de baixa atividade do sistema imunológico?,imunodeficiência.,2.33333,5.02467,1.0,0.667,0.5,1.0,1.0,0.000
Que células fazem parte do sistema imunológico adaptativo?,T e B células.,2.44444,4.37319,1.0,0.333,1.4,3.01273,1.0,0.000
Qual é a consequência de um sistema imunológico hiperativo?,autoimunidade.,1.8,4.61384,1.0,0.200,0.5,1.0,1.0,0.000
Quais são os dois tipos de células que combatem infecções?,glóbulos brancos e plaquetas.,1.72727,4.82961,1.0,0.200,1.6,3.01273,1.0,0.000
