Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Aqui estão 10 pares `pergunta,resposta` gerados com base no texto fornecido e nas instruções:,1.0,3.43523,1.0,0.250,2.33333,4.82961,1.0,0.500
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que a palavra farmácia originalmente implicava?,feitiçaria ou mesmo veneno.,1.75,4.10211,1.0,0.500,1.4,3.01273,1.0,1.333
Quais setores de atividade estão associados à farmácia?,químicas,2.11111,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
Quais são alguns dos modelos de templates usados na página da Wikipédia sobre farmácia?,Template:About,3.13333,5.51466,1.0,0.500,1.0,1.85566,1.0,0.000
Quais categorias são usadas como assunto na página da Wikipédia sobre farmácia?,Categoria:Palavras e frases gregas,2.61538,5.20226,1.0,0.625,1.33333,3.43523,1.0,0.000
Qual o foco principal do trabalho dos farmacêuticos em relação aos pacientes?,otimização de um tratamento medicamentoso para um indivíduo.,2.38462,5.20226,1.0,0.600,1.77778,4.51932,0.875,0.500
Que tipo de educação e treinamento os farmacêuticos recebem?,educação e treinamento especializados.,2.1,4.61384,1.0,0.400,1.4,3.01273,1.0,0.333
Que tipo de resultados os farmacêuticos buscam para seus pacientes?,resultados de saúde.,2.45455,4.82961,1.0,0.200,1.25,2.50045,1.0,0.500
Quais são alguns exemplos de imagens associadas à página da Wikipédia sobre farmácia?,imagens de farmácias,3.0,5.36491,1.0,0.500,0.66667,2.50045,1.0,0.000
Qual o objetivo principal da profissão farmacêutica?,melhorar os resultados de saúde dos pacientes.,1.75,4.10211,1.0,1.000,1.75,4.10211,1.0,0.500
