Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. Onde o Reno nasce?,na cantão suíço de Graubünden,1.05,3.43523,1.0,0.000,1.0,3.43523,1.0,0.000
2. Quais cidades estão localizadas ao longo do Reno?,Colônia,1.13889,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
3. Qual é o comprimento do Reno?,1.230 km,1.10714,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
4. Em quais países o Reno flui?,Suíça,1.17857,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
5. Qual é o desvio médio do Reno?,2.900 m³/s,1.25,4.37319,1.0,0.200,2.0,1.85566,1.0,0.000
6. Qual é o nome francês do Reno?,Rhin,1.125,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
7. Quais estados alemães têm nome relacionado ao Reno?,North Rhine-Westphalia e Rhineland-Palatinate,1.41667,4.61384,1.0,0.143,1.0,3.01273,1.0,0.000
8. O Reno é parte de qual fronteira histórica?,Fronteira romana,1.13889,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
9. Para onde o Reno desemboca?,Mar do Norte,1.08333,3.79304,1.0,0.000,1.0,2.50045,1.0,0.333
10. De onde o nome Reno vem?,Celta Rēnos,1.10714,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Onde o Reno nasce?,na cantão suíço de Graubünden  ,1.6,3.01273,1.0,0.000,1.0,3.43523,1.0,0.000
Quais cidades estão localizadas ao longo do Reno?,Colônia,1.77778,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o comprimento do Reno?,1.230 km  ,1.71429,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
Em quais países o Reno flui?,Suíça,1.85714,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o desvio médio do Reno?,2.900 m³/s  ,2.0,4.10211,1.0,0.250,2.0,1.85566,1.0,0.000
Qual é o nome francês do Reno?,Rhin  ,1.75,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Quais estados alemães têm nome relacionado ao Reno?,North Rhine-Westphalia e Rhineland-Palatinate  ,2.33333,4.37319,1.0,0.167,1.0,3.01273,1.0,0.000
O Reno é parte de qual fronteira histórica?,Fronteira romana  ,1.77778,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Para onde o Reno desemboca?,Mar do Norte  ,1.66667,3.43523,1.0,0.000,1.0,2.50045,1.0,0.333
De onde o nome Reno vem?,Celta Rēnos,1.71429,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
