Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é a Lei da União Europeia?,Lei supranacional.,2.11111,4.37319,1.0,0.000,1.0,1.85566,1.0,0.000
Qual é a origem histórica da lei da UE?,1952.,2.1,4.75438,0.88889,0.400,0.5,1.0,1.0,0.000
Quais são os principais objetivos da lei da UE?,Promover paz,2.3,4.75438,0.88889,0.400,0.5,1.85566,1.0,0.500
Como se estrutura formalmente a UE?,Por tratados acordados pelos estados-membros.,2.14286,3.79304,1.0,0.333,1.66667,3.43523,1.0,0.000
Qual é a fonte de interpretação legal da UE?,Treaties of the European Union.,1.8,4.61384,1.0,0.600,2.5,3.43523,1.0,0.000
Quem cria os julgamentos da UE?,Cour de justice da União Europeia.,2.0,3.79304,1.0,0.000,1.71429,3.79304,1.0,0.000
O que refere-se à Lei da UE no contexto da UE?,Lei supranacional.,3.16667,5.30531,0.81818,0.000,1.0,1.85566,1.0,0.000
Com qual objetivo a UE promove o mercado social e o emprego?,Promover emprego total.,2.07692,5.32781,0.91667,0.833,1.25,2.50045,1.0,1.000
Como a UE combate desastres ambientais?,A Lei da UE se dedica a proteger o meio ambiente.,2.0,3.79304,1.0,0.250,2.16667,5.1549,0.90909,1.000
Qual é a função principal do Tribunal de Justiça da UE?,Interpretar leis da UE.,1.91667,5.02467,1.0,0.429,1.6,3.01273,1.0,0.000
