Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O painel intergovernamental sobre mudanças climáticas é uma organização global de especialistas que analisa dados climáticos em tempo real.,Organização Global de Especialistas que Analisam Dados Climáticos em Tempo Real,2.25,6.11885,1.0,0.308,1.09091,5.02467,1.0,0.455
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O PIMC discute questões relacionadas a como reduzir emissões de gases do efeito estufa no mundo.,Discute Como Reduzir Emissões de Gases do Efeito Estufa no Mundo,2.70588,5.78178,1.0,0.400,1.90909,5.02467,1.0,0.182
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O relatório do PIMC é publicado anualmente para informar os países sobre as mudanças climáticas.,Relatórios Anuais que Informam Países Sobre Mudanças Climáticas,2.125,5.65316,1.0,0.111,0.875,4.37319,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O PIMC reúne especialistas de mais de 190 países para discutir questões climáticas.,Reúne Especialistas de Mais de 190 Países para Discutir Questões Climáticas,2.5,5.48607,0.92308,0.143,1.27273,5.1549,0.90909,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O PIMC é responsável por estabelecer metas e diretrizes para combater as mudanças climáticas globalmente.,Responsável Por Estabelecer Metas e Diretrizes Para Combater Mudanças Climáticas Globalmente,2.4375,5.65316,1.0,0.300,1.27273,5.02467,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O PIMC é um dos principais organismos do Acordo de Paris sobre mudanças climáticas que visa reduzir as emissões globais.,Um Destes Principais Organismos do Acordo de Paris para Reduzir Emissões Globais,2.09524,6.21768,1.0,0.083,1.5,5.20226,1.0,0.100
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Os relatórios do PIMC são usados como base para a elaboração de políticas nacionais e internacionais que combatem as mudanças climáticas.,Usados Como Base Para Elaborar Políticas Nacionais e Internacionais Que Combatam Mudanças Climáticas,2.18182,6.31084,1.0,0.167,1.61538,5.36491,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O PIMC também realiza workshops e conferências anuais para promover a colaboração e o compartilhamento de conhecimento em questões climáticas.,Realiza Workshops e Conferências Anuais Para Promover Colaboração e Compartilhamento de Conhecimento em Questões Climáticas,1.95238,6.42016,0.9,0.333,1.2,5.76639,0.93333,0.231
