Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é o principal foco da prática farmacêutica?,descobrir,1.77778,4.37319,1.0,0.600,0.0,1.0,1.0,1.000
Quais são os principais tipos de estabelecimentos que praticam a farmácia?,farmácias,1.75,5.02467,1.0,0.333,0.0,1.0,1.0,0.000
Qual a importância do papel do farmacêutico na otimização do tratamento?,garantir o uso seguro,4.08333,5.30531,0.81818,0.600,0.75,3.01273,1.0,1.333
O que a prática da farmácia envolve além da dispensação de medicamentos?,consultas,2.69231,5.32781,0.91667,0.400,0.0,1.0,1.0,0.000
Quais são os principais produtos que podem ser encontrados em uma farmácia moderna?,medicamentos,1.78571,5.36491,1.0,0.500,0.0,1.0,1.0,0.000
Qual a relação entre a farmácia e a saúde pública?,o farmacêutico é um profissional de saúde essencial.,1.81818,5.12344,0.8,0.750,1.77778,4.37319,1.0,0.600
Quais são os diferentes modelos de organização da prática farmacêutica?,comunitária ou institucional.,1.81818,4.82961,1.0,0.600,1.25,2.50045,1.0,0.000
Qual a importância da história da farmácia?,precursor das ciências químicas e farmacológicas.,2.375,4.25402,0.85714,1.000,1.57143,3.79304,1.0,0.000
Quais são alguns exemplos de empresas que praticam a farmácia?,Wegmans,1.72727,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
Quais são as áreas de atuação dos farmacêuticos?,educação,1.77778,4.37319,1.0,0.250,0.0,1.0,1.0,1.000
