Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a definição de um número primo?,um número natural maior que 1 que não pode ser dividido por outro número natural diferente de 1 ou ele mesmo.,1.66667,4.37319,1.0,1.000,2.86364,6.73713,0.80952,0.667
Como se verifica a natureza primária de um número?,por meio do processo de divisão,1.8,4.61384,1.0,0.500,1.0,3.79304,1.0,1.000
Quem são os primeiros números primos?,3,1.57143,3.79304,1.0,0.250,0.0,1.0,1.0,0.000
O que é a teoria dos números primários?,uma área da matemática que estuda as propriedades e distribuição dos números primos.,2.0,4.37319,1.0,0.250,2.28571,5.36491,1.0,0.429
Quais são alguns exemplos de números compostos?,4,1.625,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
De onde vem o termo primeiro em relação a números primos?,do fato de que um número primo só tem exatamente dois divisores: 1 e ele mesmo.,1.83333,5.02467,1.0,0.400,4.55556,5.78178,1.0,0.750
O que é um divisor comum?,um número que divide dois ou mais números sem deixar resto.,1.57143,3.79304,1.0,0.333,2.66667,5.02467,1.0,0.600
Como se pode encontrar todos os divisores de um número?,dividi-lo por todas as possibilidades inteiras menores ou igual a sua raiz quadrática.,1.72727,4.82961,1.0,0.500,2.35714,5.36491,1.0,0.286
Existem infinitos números primos?,sim,1.6,3.01273,1.0,0.000,0.0,1.0,1.0,1.000
O que é o teorema fundamental da aritmética?,um resultado que afirma que todo número inteiro maior que 1 pode ser representado de maneira única como um produto de números primos.,2.22222,4.51932,0.875,0.500,2.125,6.882,0.82609,0.571
