Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
`<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` is one triple.,1.4,2.50045,1.0,0.000,1.6,2.50045,1.0,0.000
Then the next line is `<http://dbpedia.org/resource/Warsaw> ns2:augRecordHighC 38 ,` which is another triple.,3.7,4.37319,1.0,0.000,2.0,3.01273,1.0,0.000
Line 1: `<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` → Subject: Warsaw,2.0,3.59796,0.8,0.000,2.0,1.85566,1.0,0.000
Line 2: `ns2:augRecordHighC 38 ,` → Wait,2.0,3.43523,1.0,0.000,1.0,1.0,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` → Subject is <http://dbpedia.org/resource/Warsaw>,1.4,2.50045,1.0,0.000,1.5,1.85566,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` → this is a triple.,1.4,2.50045,1.0,0.000,2.0,3.01273,1.0,0.000
Then the next line is `ns2:augRecordHighC 38 ,` → but the subject is missing here. That would be an error in the data. However,3.7,4.37319,1.0,0.000,2.22222,5.76639,0.93333,0.067
`<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` (subject: Warsaw),1.4,2.50045,1.0,0.000,1.83333,2.50045,1.0,0.000
Then next line: `ns2:augRecordHighC 38 ,` (no subject),2.33333,3.79304,1.0,0.000,2.0,2.50045,1.0,0.000
Then `ns2:decMeanC -0.1 ,` (no subject),1.83333,3.01273,1.0,0.000,2.0,2.50045,1.0,0.000
`ns2:decRecordHighC 15.4 ,` → same subject,1.4,2.50045,1.0,0.000,1.5,1.85566,1.0,0.000
Then the next line is `ns2:augRecordHighC 38 ,` → no subject.,3.7,4.37319,1.0,0.000,1.6,2.50045,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:augRecordHighC 38 ,` → another triple.,1.4,2.50045,1.0,0.000,1.6,1.85566,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:decMeanC -0.1 ,` → another triple.,1.4,2.50045,1.0,0.000,1.6,1.85566,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:decRecordHighC 15.4 ,` → another triple.,1.4,2.50045,1.0,0.000,1.6,1.85566,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:febLowC -3.3 ,` → another triple.,1.4,2.50045,1.0,0.000,1.6,1.85566,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:augRecordHighC 38 ,` → Wait,1.4,2.50045,1.0,0.000,1.0,1.0,1.0,0.000
`<http://dbpedia.org/resource/Warsaw> ns2:febLowC -3.3 ,` → again,1.4,2.50045,1.0,0.000,1.0,1.0,1.0,0.000
`ns2:decMeanC -0.1 ,` → no subject,1.4,2.50045,1.0,0.000,1.5,2.50045,1.0,0.000
Then `ns2:decRecordHighC 15.4 ,` → same subject.,1.83333,3.01273,1.0,0.000,1.6,1.85566,1.0,0.000
Then `ns2:febLowC -3.3 ,` → same subject.,1.83333,3.01273,1.0,0.000,1.6,1.85566,1.0,0.000
Then `ns2:augRecordHighC 38 ,` → same subject.,1.83333,3.01273,1.0,0.000,1.6,1.85566,1.0,0.000
Then `ns2:marRecordHighC 38 ,` → but that's not in the data. Wait,1.83333,3.01273,1.0,0.000,1.09091,4.37319,1.0,0.250
`ns2:augRecordHighC 38 ,` (again),1.4,2.50045,1.0,0.000,1.5,1.0,1.0,0.000
1. `<http://dbpedia.org/resource/Warsaw> ns2:aprSnowDepthC 1 ,` → Subject: <http://dbpedia.org/resource/Warsaw>,0.95,3.17866,0.75,0.000,1.25,1.0,1.0,0.000
2. `ns2:augRecordHighC 38 ,` → Subject: <http://dbpedia.org/resource/Warsaw>,0.95,3.01273,1.0,0.000,1.25,1.0,1.0,0.000
3. `ns2:decMeanC -0.1 ,` → Subject: <http://dbpedia.org/resource/Warsaw>,0.95,3.01273,1.0,0.000,1.25,1.0,1.0,0.000
4. `ns2:decRecordHighC 15.4 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
5. `ns2:febLowC -3.3 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
6. `ns2:augRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
7. `ns2:marRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
8. `ns2:aprRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
9. `ns2:mayRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
10. `ns2:junRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
11. `ns2:julRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
12. `ns2:augRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
13. `ns2:sepRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
14. `ns2:octRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
15. `ns2:novRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
16. `ns2:decRecordHighC 15.4 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
17. `ns2:janRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
18. `ns2:febRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
19. `ns2:marRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
20. `ns2:aprRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
21. `ns2:mayRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
22. `ns2:junRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
23. `ns2:julRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
24. `ns2:augRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
25. `ns2:sepRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
26. `ns2:octRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
27. `ns2:novRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
28. `ns2:decRecordHighC 15.4 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
29. `ns2:janRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
30. `ns2:febRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
31. `ns2:marRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
32. `ns2:aprRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
33. `ns2:mayRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
34. `ns2:junRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
35. `ns2:julRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
36. `ns2:augRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
37. `ns2:sepRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
38. `ns2:octRecordHighC 38 ,` → same subject,0.95,3.17866,0.75,0.000,1.5,1.85566,1.0,0.000
39. `ns2:novRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
40. `ns2:decRecordHighC 15.4 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
41. `ns2:janRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
42. `ns2:febRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
43. `ns2:marRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
44. `ns2:aprRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
45. `ns2:mayRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
46. `ns2:junRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
47. `ns2:julRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
48. `ns2:augRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
49. `ns2:sepRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
50. `ns2:octRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
51. `ns2:novRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
52. `ns2:decRecordHighC 15.4 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
53. `ns2:janRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
54. `ns2:febRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
55. `ns2:marRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
56. `ns2:aprRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
57. `ns2:mayRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
58. `ns2:junRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
59. `ns2:julRecordHighC 38 ,` → same subject,0.95,3.01273,1.0,0.000,1.5,1.85566,1.0,0.000
