Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Uma rocha ígnea é formada por que tipo de material?,magma,1.90909,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
Rocha sedimentar pode ser transformada em qual das três categorias?,rocha metamórfica ou rocha ígneam,1.81818,4.82961,1.0,0.333,1.0,3.59796,0.8,0.250
O que ocorre quando se derrete uma rocha geológica?,pode formar outros tipos de rochas,1.7,4.61384,1.0,0.250,0.83333,3.79304,1.0,0.250
Qual é o conjunto dos três principais tipos de rochas?,igneas,2.09091,4.82961,1.0,0.200,0.0,1.0,1.0,0.000
Qual fato sobre geologia você aprendeu na escola?,Geología é uma área estudada em ciências da terra,2.0,4.37319,1.0,0.500,1.11111,4.61384,1.0,0.333
Quem atua na área de Geologia?,Rudolph Glossop,1.71429,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
O que é a litosfera da Terra composta por?,crosta e parte superior rígida do manto,2.4,4.61384,1.0,0.000,1.14286,4.10211,1.0,0.600
Qual é um termo alternativo para o manto superior na geologia?,astenosfera,1.91667,5.02467,1.0,0.333,0.0,1.0,1.0,0.000
As placas tectônicas estão relacionadas com qual componente mais próximo da superfície da terra?,litosfera,2.26667,5.63172,0.92857,0.667,0.0,1.0,1.0,0.000
Em que década a geotomografia foi descoberta?,Década de 1960,2.125,4.10211,1.0,0.500,0.66667,2.50045,1.0,0.000
O modelo wiki Geology é usado para representar quais informações?,relações entre diferentes áreas de geologia,2.09091,4.82961,1.0,0.429,0.83333,3.79304,1.0,0.000
