Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quem desenvolveu o conceito de comutação de pacotes?,Paul Baran desenvolveu o conceito de comutação de pacotes,1.66667,4.51932,0.875,0.250,1.0,4.75438,0.88889,0.167
Qual era o objetivo do conceito de comutação de pacotes?,fornecer um método de roteamento eficiente e tolerante a falhas,1.81818,4.96484,0.9,0.800,1.4,4.82961,1.0,0.500
Com o que Donald Davies é creditado?,Davies é creditado por cunhar o nome moderno de comutação de pacotes,2.125,4.10211,1.0,0.000,1.0,5.32781,0.91667,0.250
O que a comutação de pacotes contradiz?,contradizia os princípios de pré-alocação de largura de banda,2.0,4.10211,1.0,0.000,0.88889,4.92241,0.77778,0.400
Qual foi o financiador do programa de pesquisa de Paul Baran?,Departamento de Defesa dos EUA,1.83333,5.1549,0.90909,0.333,2.0,3.43523,1.0,0.000
Onde foi incorporado o conceito de comutação de pacotes?,no design do ARPANET,1.7,4.75438,0.88889,0.167,1.5,3.01273,1.0,0.500
O que compõe um pacote em comutação de pacotes?,header e payload,1.7,4.61384,1.0,0.250,0.66667,2.50045,1.0,0.000
Como a comutação de pacotes difere da comutação de circuitos?,taxa por unidade de informação vs. taxa por conexão,2.09091,5.12344,0.8,0.000,1.33333,4.92241,0.77778,0.667
Qual a função do header em um pacote?,direcionar o pacote ao destino,2.22222,4.37319,1.0,0.667,1.0,3.43523,1.0,0.667
Em que ano Donald Davies trabalhou no National Physical Laboratory?,em 1965,2.54545,4.82961,1.0,0.143,0.5,1.85566,1.0,0.000
