Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é imperialismo?,Política de extensão de poder e domínio,1.4,3.01273,1.0,0.000,0.85714,4.25402,0.85714,1.000
Quais são os métodos do imperialismo?,Aquisição territorial e controle político-econômico,1.71429,3.79304,1.0,0.333,1.0,3.43523,1.0,0.500
O que é poder duro?,Poder militar e econômico,1.83333,3.43523,1.0,1.000,1.0,3.01273,1.0,0.667
O que é poder mole?,Poder cultural e diplomático,1.83333,3.43523,1.0,1.000,1.0,3.01273,1.0,0.333
Como o imperialismo difere do colonialismo?,Conceito distinto,1.71429,3.79304,1.0,0.000,0.5,1.85566,1.0,0.500
Quais são os objetivos principais do imperialismo?,Estender poder e domínio,1.625,4.10211,1.0,0.250,0.75,3.01273,1.0,1.000
Quais são os dois tipos de poder no imperialismo?,Poder duro e poder mole,2.1,4.61384,1.0,0.750,0.8,3.59796,0.8,1.000
Quais são os tipos de governo relacionados ao imperialismo?,Muitos tipos de governos,2.0,4.61384,1.0,0.400,0.75,3.01273,1.0,0.000
Qual é o foco principal do imperialismo?,Controle político-econômico,1.75,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Como o imperialismo usa poder cultural?,Através do poder mole,1.71429,3.79304,1.0,0.750,0.75,3.01273,1.0,1.500
