Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Aqui estão 10 pares `pergunta,resposta` gerados com base no texto fornecido,1.0,3.43523,1.0,0.250,1.375,4.10211,1.0,0.600
1.  Qual a função principal do Presiding Officer do Parlamento Escocês?,Liderar as atividades do parlamento.,1.61364,5.1549,0.90909,0.375,1.66667,3.43523,1.0,0.000
2.  Qual a cor de fundo utilizada no Parlamento da Escócia?,#500791,1.56818,5.02467,1.0,0.429,0.5,1.85566,1.0,0.000
3.  Qual a data da última eleição para o Parlamento da Escócia?,2021-05-06,1.20833,5.32781,0.91667,0.286,0.0,1.0,1.0,0.000
4.  Quantos membros compõem o Parlamento da Escócia atualmente?,129,1.30556,4.61384,1.0,0.143,0.0,1.0,1.0,0.000
5.  Onde está localizado o Parlamento da Escócia?,Scottish Parliament Building,1.125,4.37319,1.0,0.000,1.0,2.50045,1.0,0.000
6.  Que tipo de organização é o Parlamento da Escócia?,Assembly108163792,1.3,4.82961,1.0,0.286,0.0,1.0,1.0,0.000
7.  Qual a função do Primeiro-Ministro da Escócia?,Liderar o governo escocês.,1.4375,4.37319,1.0,0.200,1.4,3.01273,1.0,0.333
8.  Quais comissões analisa o tratamento de reclamações de assédio contra ex-ministros?,Comitê sobre o tratamento pelo Governo Escocês de reclamações de assédio contra ex-ministros.,1.16667,5.32781,0.91667,0.143,2.42857,5.48607,0.92308,0.143
9.  Que tipo de leis o Parlamento da Escócia pode fazer?,Leis em áreas onde não há poderes reservados por Westminster.,1.61364,5.02467,1.0,0.286,2.0,4.82961,1.0,0.286
10. Qual a importância do Parlamento da Escócia na identidade nacional escocesa?,Representa a autonomia e a autodeterminação da Escócia.,2.08333,5.20226,1.0,0.429,1.88889,4.51932,0.875,0.000
