Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que são Ctenophora?,Um filo de invertebrados marinhos,1.4,3.01273,1.0,0.500,0.8,3.43523,1.0,0.333
Qual a origem do nome Ctenophora?,Do grego comb (kteis) e carry (pherō).,2.0,3.79304,1.0,0.667,2.83333,4.10211,1.0,0.200
Qual a principal característica distintiva dos Ctenophora?,Grupos de cílios usados para natação (pentes).,2.0,4.10211,1.0,0.500,2.2,4.10211,1.0,0.200
Qual o tamanho máximo de um Ctenophora?,1,1.75,4.10211,1.0,0.667,0.0,1.0,1.0,0.000
Quantas espécies de Ctenophora foram validadas?,Entre 100 e 150,2.0,3.79304,1.0,0.000,1.0,3.01273,1.0,0.000
O que são tentáculos em Ctenophora?,Estruturas retráteis com tentilla para capturar presas.,1.71429,3.79304,1.0,0.333,1.625,4.10211,1.0,0.200
Qual a função da cavidade interna dos Ctenophora?,Digestão e respiração.,2.77778,4.37319,1.0,0.250,1.25,2.50045,1.0,0.500
Onde podemos encontrar fósseis de Ctenophora?,Em lagerstätten datando do período Cambriano.,1.57143,3.79304,1.0,0.200,1.71429,3.79304,1.0,0.250
Qual a importância do estudo da posição filogenética dos Ctenophora?,Para entender a história evolutiva dos animais.,3.63636,4.82961,1.0,0.600,1.875,4.10211,1.0,0.500
Quais os nomes comuns para Ctenophora?,Geleias de pente.,1.71429,3.79304,1.0,0.000,1.25,2.50045,1.0,0.500
