Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O que é força em física?,Força é uma interação que,1.57143,3.79304,1.0,0.667,1.0,3.43523,1.0,0.000
Qual é a unidade padrão de medida de força no Sistema Internacional?,Newton (N),2.07692,5.32781,0.91667,0.571,1.5,1.85566,1.0,0.000
Quais são os dois principais tipos de forças?,Forças de contato e forças de ação à distância,1.66667,4.37319,1.0,0.250,1.22222,4.92241,0.77778,0.600
Qual é a fórmula para calcular a força?,Força igual à massa multiplicada pela aceleração (F = m × a),2.22222,4.51932,0.875,0.500,3.71429,5.20226,1.0,0.700
Qual é o efeito da força sobre um objeto?,A força pode alterar a velocidade,1.8,4.61384,1.0,0.750,1.0,3.95066,0.83333,0.750
Com que lei de Newton está relacionada a inércia?,Primeira lei de Newton,2.1,4.61384,1.0,0.200,0.75,3.01273,1.0,0.333
Qual é a diferença entre forças de contato e forças de ação à distância?,As forças de contato exigem contato físico,2.0,5.76263,0.85714,0.571,1.28571,4.25402,0.85714,0.400
O que é a força gravitacional?,A força de atração entre massas,1.57143,3.79304,1.0,0.333,0.83333,3.79304,1.0,0.667
Qual é o papel da força de atrito no movimento?,A força de atrito opõe-se ao movimento de um objeto,1.90909,4.82961,1.0,0.600,1.3,4.96484,0.9,0.600
Qual é a unidade de força no Sistema Internacional?,Newton (N),2.0,4.61384,1.0,0.400,1.5,1.85566,1.0,0.000
