Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que significa o termo construção em sua definição mais geral?,Arte e ciência de formar objetos,2.83333,5.1549,0.90909,1.000,0.83333,3.79304,1.0,0.500
Qual a origem da palavra construção?,Latim e francês antigo,2.0,3.79304,1.0,1.000,0.75,3.01273,1.0,0.667
Qual o período em que a construção normalmente começa?,Planejamento,1.7,4.61384,1.0,0.500,0.0,1.0,1.0,0.000
O que a construção abrange além da construção de edifícios?,Reparos e manutenção,1.81818,4.96484,0.9,0.250,0.66667,2.50045,1.0,0.000
Qual a porcentagem do PIB global a construção representa atualmente?,Cerca de 13 por cento,2.36364,4.96484,0.9,0.333,1.0,3.43523,1.0,1.000
Qual é um perigo significativo associado à indústria da construção?,Acidentes e fatalidades,3.09091,4.82961,1.0,0.500,0.66667,2.50045,1.0,0.000
Qual o ano em que a construção global atingiu cerca de $4 trilhões?,2012,2.2,5.51466,1.0,0.333,0.0,1.0,1.0,0.000
Qual o impacto da construção no desenvolvimento econômico?,Promove o desenvolvimento econômico,2.77778,4.37319,1.0,0.750,0.75,3.01273,1.0,0.667
O que é um megaprojeto?,Os maiores projetos de construção,1.5,3.43523,1.0,0.000,0.8,3.43523,1.0,0.333
Qual a contribuição da construção para os países?,Benefícios econômicos e não monetários,1.66667,4.37319,1.0,0.333,0.8,3.43523,1.0,0.500
